Rotation Vector  Non-wakeup,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
802486717,3,-0.30987892,-0.6293531,0.6359124,0.32172215,-1.0
802486727,3,-0.30988207,-0.6293476,0.6359142,0.32172623,-1.0
802486738,3,-0.30987754,-0.6293544,0.6359176,0.3217106,-1.0
802486748,3,-0.30988285,-0.6293451,0.6359211,0.3217167,-1.0
802486758,3,-0.3098819,-0.6293471,0.635919,0.32171807,-1.0
802486768,3,-0.30988163,-0.6293478,0.63591754,0.32171983,-1.0
802486778,3,-0.30988708,-0.6293388,0.63591784,0.32173148,-1.0
802486788,3,-0.30988827,-0.6293368,0.63591844,0.32173312,-1.0
802486799,3,-0.30989125,-0.62933147,0.6359208,0.32173592,-1.0
802486809,3,-0.30989048,-0.6293325,0.6359222,0.321732,-1.0
802486819,3,-0.30989,-0.62933344,0.6359214,0.32173213,-1.0
802486829,3,-0.30989334,-0.62932837,0.63591903,0.3217436,-1.0
802486839,3,-0.30988893,-0.6293358,0.6359177,0.32173583,-1.0
802486849,3,-0.3098895,-0.6293364,0.63590914,0.32175112,-1.0
802486859,3,-0.30989367,-0.6293294,0.63591033,0.32175848,-1.0
802486869,3,-0.3098855,-0.6293428,0.6359098,0.32174113,-1.0
802486879,3,-0.3098861,-0.62934166,0.6359107,0.321741,-1.0
802486889,3,-0.3098847,-0.6293441,0.63590986,0.3217393,-1.0
802486899,3,-0.3098872,-0.62933993,0.6359103,0.32174414,-1.0
802486909,3,-0.30988964,-0.62933606,0.6359097,0.3217506,-1.0
802486919,3,-0.3098929,-0.62933004,0.6359139,0.32175088,-1.0
802486929,3,-0.30989838,-0.62932074,0.63591564,0.32176033,-1.0
802486939,3,-0.30990386,-0.62931025,0.6359242,0.32175854,-1.0
802486949,3,-0.30990928,-0.6293022,0.6359195,0.32177842,-1.0
802486959,3,-0.30990756,-0.62930524,0.6359182,0.32177666,-1.0
802486969,3,-0.3099006,-0.6293166,0.63591796,0.32176152,-1.0
802486979,3,-0.30990162,-0.6293159,0.63591254,0.3217727,-1.0
802486989,3,-0.3099012,-0.62931657,0.6359132,0.32177064,-1.0
802486999,3,-0.3099054,-0.62931025,0.6359098,0.32178557,-1.0
802487009,3,-0.30989856,-0.62932193,0.635907,0.3217749,-1.0
802487019,3,-0.30989927,-0.62932014,0.6359106,0.32177058,-1.0
802487029,3,-0.30989233,-0.62933177,0.63590896,0.32175773,-1.0
802487039,3,-0.3098915,-0.6293324,0.6359132,0.32174894,-1.0
802487049,3,-0.3098861,-0.6293405,0.6359171,0.32173043,-1.0
802487059,3,-0.3098833,-0.6293448,0.6359188,0.3217215,-1.0
802487069,3,-0.3098883,-0.6293373,0.63591504,0.32173878,-1.0
802487079,3,-0.30988473,-0.6293439,0.63591063,0.32173806,-1.0
802487089,3,-0.3098796,-0.62935126,0.6359167,0.32171658,-1.0
802487099,3,-0.30987507,-0.6293584,0.6359182,0.32170406,-1.0
802487109,3,-0.30987418,-0.62936014,0.63591635,0.3217051,-1.0
802487119,3,-0.30987322,-0.6293623,0.63591313,0.32170826,-1.0
802487129,3,-0.30987445,-0.6293602,0.6359136,0.32171017,-1.0
802487139,3,-0.30987674,-0.6293564,0.6359139,0.32171485,-1.0
802487149,3,-0.30986926,-0.6293692,0.6359106,0.3217036,-1.0
802487159,3,-0.3098681,-0.62937146,0.6359085,0.3217044,-1.0
802487169,3,-0.30987,-0.6293675,0.63591355,0.3217003,-1.0
802487179,3,-0.3098689,-0.6293688,0.6359163,0.32169342,-1.0
802487189,3,-0.30986193,-0.62938035,0.6359156,0.32167897,-1.0
802487199,3,-0.30986354,-0.62937874,0.6359096,0.32169232,-1.0
802487209,3,-0.30986038,-0.6293844,0.63590676,0.32168996,-1.0
802487219,3,-0.30985916,-0.6293869,0.63590395,0.32169178,-1.0
802487229,3,-0.309859,-0.6293868,0.6359059,0.32168823,-1.0
802487239,3,-0.30985707,-0.62939006,0.63590527,0.32168496,-1.0
802487249,3,-0.30986398,-0.6293779,0.6359101,0.32169262,-1.0
802487259,3,-0.30985883,-0.6293859,0.6359129,0.3216764,-1.0
802487269,3,-0.30986023,-0.6293842,0.635909,0.32168594,-1.0
802487279,3,-0.3098639,-0.629378,0.6359103,0.32169202,-1.0
802487289,3,-0.30986515,-0.62937635,0.6359083,0.3216981,-1.0
802487299,3,-0.30986375,-0.62937856,0.63590866,0.3216944,-1.0
802487309,3,-0.30986345,-0.62937874,0.63591033,0.32169092,-1.0
802487319,3,-0.30985942,-0.6293852,0.63591117,0.3216806,-1.0
802487329,3,-0.30985218,-0.62939644,0.6359146,0.32165873,-1.0
802487339,3,-0.30985084,-0.6293982,0.6359169,0.32165208,-1.0
802487349,3,-0.30984938,-0.6294008,0.63591564,0.32165083,-1.0
802487359,3,-0.30984417,-0.62940985,0.63591284,0.32164383,-1.0
802487369,3,-0.3098446,-0.62940913,0.6359125,0.32164538,-1.0
802487379,3,-0.3098432,-0.62941176,0.6359106,0.32164538,-1.0
802487389,3,-0.30984044,-0.6294165,0.6359094,0.32164112,-1.0
802487399,3,-0.30983582,-0.629425,0.63590413,0.32163945,-1.0
802487409,3,-0.30983523,-0.62942636,0.6359021,0.32164133,-1.0
802487419,3,-0.30983245,-0.62942994,0.63590753,0.32162628,-1.0
802487429,3,-0.3098287,-0.62943804,0.6358961,0.32163665,-1.0
802487439,3,-0.30982342,-0.6294451,0.635905,0.3216102,-1.0
802487449,3,-0.30982146,-0.6294462,0.63591725,0.3215858,-1.0
802487459,3,-0.30981892,-0.62944895,0.6359251,0.32156724,-1.0
802487469,3,-0.30982178,-0.6294441,0.63592577,0.3215726,-1.0
