timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
587,802486004,0.0058032153,-0.002290743,0.0015271619,0.111864455,-9.766006,0.15343975,3.775,9.1,151.8625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
597,802486014,0.0051923506,-0.0018325944,0.0015271619,0.10737792,-9.7654085,0.15343975,3.75,9.1,151.85,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
606,802486023,0.0048869182,-0.0010690134,0.0010690134,0.109471634,-9.756136,0.16091733,3.7125,9.125,151.83751,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
616,802486033,0.004123337,-0.002290743,0.0018325944,0.106480606,-9.762417,0.14925231,3.6625001,9.150001,151.7875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
626,802486043,0.0058032153,-0.0016798781,0.0015271619,0.109471634,-9.766604,0.1477568,3.6000001,9.1375,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
636,802486053,0.004734202,-0.0021380268,0.0015271619,0.0951147,-9.761819,0.15583257,3.5625,9.150001,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
646,802486063,0.0044287695,-0.0025961753,9.162972E-4,0.10468599,-9.7681,0.14626129,3.575,9.150001,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
656,802486073,0.0048869182,-0.0024434591,0.0013744457,0.101694964,-9.766306,0.14536397,3.6000001,9.150001,151.77501,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
666,802486083,0.0048869182,-0.0021380268,0.0018325944,0.10139586,-9.755538,0.14416756,3.625,9.175,151.825,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
676,802486093,0.003970621,-0.0015271619,0.0012217296,0.109471634,-9.760324,0.15672988,3.65,9.1625,151.8875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
687,802486104,0.0051923506,-0.002290743,0.0012217296,0.101694964,-9.764511,0.1576272,3.65,9.125,151.975,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
697,802486114,0.0044287695,-0.0025961753,0.0016798781,0.1052842,-9.754341,0.16600206,3.6625001,9.1125,152.02501,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
707,802486124,0.0050396346,-0.002290743,9.162972E-4,0.0948156,-9.762118,0.14386846,3.65,9.087501,152.0375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
717,802486134,0.004734202,-0.0015271619,0.0016798781,0.11066805,-9.762417,0.16061822,3.6625001,9.087501,152.0375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
727,802486144,0.0044287695,-0.0013744457,0.0013744457,0.09720842,-9.757631,0.15074782,3.6375,9.087501,151.96251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
737,802486154,0.0056504994,-0.0021380268,0.0016798781,0.101694964,-9.766904,0.15104693,3.5875,9.1,151.875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
748,802486165,0.004581486,-0.0012217296,0.0019853106,0.10438689,-9.766306,0.16031912,3.55,9.087501,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
758,802486175,0.0044287695,-0.0013744457,0.0016798781,0.10917253,-9.761221,0.15433706,3.5125,9.075,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
768,802486185,0.0042760535,-0.0018325944,0.0012217296,0.11515459,-9.7609215,0.1468595,3.5,9.087501,151.675,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
778,802486195,0.005497783,-0.0015271619,0.0013744457,0.102592275,-9.763913,0.14895321,3.5,9.087501,151.6625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
788,802486205,0.0050396346,-0.0013744457,0.0016798781,0.11395818,-9.762716,0.16660027,3.5375001,9.1125,151.7,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
798,802486215,0.0048869182,-0.0018325944,0.0012217296,0.10827523,-9.760024,0.15254244,3.55,9.125,151.85,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
808,802486225,0.004581486,-0.0019853106,0.0018325944,0.11306087,-9.766904,0.15254244,3.575,9.1125,151.9375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
818,802486235,0.0056504994,-0.002290743,0.0012217296,0.12173485,-9.767801,0.15044872,3.6000001,9.1125,151.9875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
828,802486245,0.0050396346,-0.0019853106,0.0012217296,0.12502499,-9.762716,0.148355,3.6625001,9.1375,152.02501,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
838,802486255,0.0050396346,-0.0015271619,0.0016798781,0.10289137,-9.751051,0.1594218,3.6875,9.1375,152.0125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
848,802486265,0.005497783,-0.0024434591,0.0018325944,0.09750752,-9.759426,0.1591227,3.7125,9.150001,152.0125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
858,802486275,0.0056504994,-0.002290743,9.162972E-4,0.10767702,-9.753445,0.14955142,3.7,9.125,151.9875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
868,802486285,0.0058032153,-0.0016798781,0.0013744457,0.11006984,-9.768699,0.17437695,3.6875,9.1125,151.9375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
878,802486295,0.0048869182,-0.0016798781,0.0016798781,0.10857433,-9.76152,0.14566308,3.65,9.1,151.90001,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
888,802486305,0.004581486,-0.0015271619,9.162972E-4,0.09720842,-9.757931,0.14985052,3.6125,9.1125,151.83751,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
898,802486315,0.0056504994,-0.00320704,0.0010690134,0.097806625,-9.763614,0.17018951,3.6000001,9.1375,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
908,802486325,0.0048869182,-0.0013744457,0.0018325944,0.10887343,-9.759726,0.15702899,3.575,9.1375,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
919,802486336,0.0061086477,-0.0012217296,0.0013744457,0.11545369,-9.773783,0.1582254,3.5875,9.150001,151.71251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
929,802486346,0.0042760535,-0.0016798781,0.0016798781,0.09990034,-9.775578,0.15134603,3.6000001,9.1625,151.675,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
939,802486356,0.004581486,-0.0018325944,0.0018325944,0.098703936,-9.77139,0.1576272,3.6125,9.1875,151.65001,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
949,802486366,0.0048869182,-0.0021380268,0.0018325944,0.096909314,-9.769596,0.16151553,3.625,9.2,151.6375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
959,802486376,0.0048869182,-0.0027488915,7.6358096E-4,0.10229317,-9.761221,0.15672988,3.6125,9.225,151.625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
969,802486386,0.0065667965,-0.002290743,0.0013744457,0.110368945,-9.777073,0.1582254,3.6125,9.175,151.6625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
979,802486396,0.004734202,-0.0013744457,0.0012217296,0.10109676,-9.762417,0.16091733,3.6000001,9.1625,151.675,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
989,802486406,0.004581486,-0.002290743,9.162972E-4,0.09750752,-9.766904,0.15523437,3.5875,9.1375,151.6875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
999,802486416,0.0051923506,-0.0019853106,0.0012217296,0.10827523,-9.760623,0.1480559,3.5875,9.1125,151.71251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1009,802486426,0.0048869182,-0.0018325944,0.0015271619,0.110368945,-9.766306,0.15194423,3.5875,9.087501,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1019,802486436,0.0048869182,-0.0012217296,0.0018325944,0.10109676,-9.764811,0.16002001,3.6000001,9.075,151.75,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1029,802486446,0.0050396346,-0.0021380268,0.0015271619,0.117547415,-9.754043,0.15104693,3.625,9.0625,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1039,802486456,0.0042760535,-0.0016798781,0.0024434591,0.10468599,-9.765707,0.15104693,3.6125,9.075,151.71251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1049,802486466,0.0048869182,-0.0016798781,0.0015271619,0.116351,-9.767502,0.17168503,3.6125,9.087501,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1059,802486476,0.0051923506,-0.0019853106,0.0010690134,0.1160519,-9.759426,0.16540386,3.6125,9.087501,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1069,802486486,0.005497783,-0.002290743,0.0010690134,0.111266255,-9.763913,0.16271193,3.5875,9.1,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1079,802486496,0.004581486,-0.0013744457,0.0018325944,0.10827523,-9.766904,0.16031912,3.5875,9.1,151.7875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1090,802486507,0.004581486,-0.0019853106,0.0010690134,0.10229317,-9.74836,0.14087744,3.575,9.1125,151.8125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1100,802486517,0.004734202,-0.0024434591,0.0015271619,0.11096715,-9.769297,0.1594218,3.5875,9.1125,151.83751,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1110,802486527,0.005497783,-0.0021380268,0.0019853106,0.10378868,-9.755538,0.15463616,3.6000001,9.087501,151.825,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1120,802486537,0.005497783,-0.0016798781,0.0015271619,0.100199446,-9.768997,0.16271193,3.6625001,9.075,151.8,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1130,802486547,0.0042760535,-0.0012217296,0.0018325944,0.09750752,-9.771989,0.148355,3.6875,9.05,151.7875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1140,802486557,0.005345067,-0.0029016077,0.0021380268,0.117547415,-9.754641,0.15373886,3.7250001,9.0625,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1151,802486568,0.0051923506,-0.0021380268,0.0010690134,0.11425728,-9.763314,0.15134603,3.7250001,9.075,151.7625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1161,802486578,0.0050396346,-0.0012217296,0.0012217296,0.1055833,-9.755538,0.15403795,3.7375,9.087501,151.7375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
1171,802486588,0.005497783,-0.0018325944,9.162972E-4,0.103190474,-9.771091,0.15882361,3.7375,9.1,151.71251,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
