gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
802485774,3,1741276959601461201,0.005497783,-0.0016798781,0.0019853106,0.005240746,-0.0017869712,0.0013365636
802485784,3,1741276959611592763,0.005345067,-0.0013744457,0.0013744457,0.005240746,-0.0017869712,0.0013365636
802485794,3,1741276959621576930,0.004123337,-0.0015271619,9.162972E-4,0.005240746,-0.0017869712,0.0013365636
802485804,3,1741276959631562242,0.0048869182,-0.002290743,0.0015271619,0.005240746,-0.0017869712,0.0013365636
802485814,3,1741276959641546409,0.005497783,-0.0027488915,0.0018325944,0.005240746,-0.0017869712,0.0013365636
802485824,3,1741276959651531045,0.0044287695,-0.0018325944,9.162972E-4,0.005240746,-0.0017869712,0.0013365636
802485834,3,1741276959661515107,0.005497783,-0.0018325944,0.0012217296,0.005240746,-0.0017869712,0.0013365636
802485844,3,1741276959671499951,0.0058032153,-0.0021380268,0.0015271619,0.005240746,-0.0017869712,0.0013365636
802485854,3,1741276959681484586,0.0051923506,-0.0010690134,0.0013744457,0.005240746,-0.0017869712,0.0013365636
802485864,3,1741276959691468753,0.004581486,-0.0019853106,0.0018325944,0.005240746,-0.0017869712,0.0013365636
802485874,3,1741276959701453597,0.0051923506,-0.0025961753,0.0010690134,0.005240746,-0.0017869712,0.0013365636
802485884,3,1741276959711438232,0.0051923506,-0.0010690134,0.0015271619,0.005240746,-0.0017869712,0.0013365636
802485894,3,1741276959721422347,0.005497783,-0.0016798781,0.0016798781,0.005240746,-0.0017869712,0.0013365636
802485904,3,1741276959731406982,0.0050396346,-0.0013744457,0.0018325944,0.005240746,-0.0017869712,0.0013365636
