gyro_s003_002 QTI-Gyroscope-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_uncal_x[rad/s],ang_vel2_uncal_y[rad/s],ang_vel2_uncal_z[rad/s],ang_vel2_drift_x[rad/s],ang_vel2_drift_y[rad/s],ang_vel2_drift_z[rad/s]
800981976,3,1741275455803825367,-0.004857597,9.587342E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800981986,3,1741275455813637607,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800981995,3,1741275455823453023,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982005,3,1741275455833258440,-0.0059228605,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982008,3,1741275455836326200,-0.0037923334,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982018,3,1741275455846157607,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982028,3,1741275455856015419,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982038,3,1741275455865900107,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982048,3,1741275455875811877,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982058,3,1741275455885752138,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982068,3,1741275455895721096,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982078,3,1741275455905719690,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982088,3,1741275455915745471,-0.0037923334,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982098,3,1741275455925799638,-0.0037923334,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982108,3,1741275455935880679,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982118,3,1741275455945989429,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982128,3,1741275455956125419,-0.0059228605,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982138,3,1741275455966287867,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982148,3,1741275455976475471,-0.0059228605,-0.0011717929,0.00374973,-0.0045848875,-0.0012655376,0.0014743246
800982159,3,1741275455986675471,-0.004857597,-0.0011717929,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982169,3,1741275455996875471,-0.004857597,-0.0011717929,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982179,3,1741275456007075471,-0.0059228605,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982189,3,1741275456017275471,-0.0037923334,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982199,3,1741275456027475471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982210,3,1741275456037675471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982220,3,1741275456047875471,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982230,3,1741275456058075471,-0.004857597,9.587342E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982240,3,1741275456068275471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982250,3,1741275456078475471,-0.004857597,-0.0011717929,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982261,3,1741275456088675471,-0.004857597,-0.0011717929,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982271,3,1741275456098875471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982281,3,1741275456109075471,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982291,3,1741275456119275471,-0.0037923334,-0.0011717929,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982301,3,1741275456129475471,-0.004857597,-1.0652933E-4,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982312,3,1741275456139675471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982322,3,1741275456149875471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982332,3,1741275456160075471,-0.004857597,-1.0652933E-4,5.539395E-4,-0.0045848875,-0.0012655376,0.0014743246
800982342,3,1741275456170275471,-0.004857597,-1.0652933E-4,0.001619203,-0.0045848875,-0.0012655376,0.0014743246
800982352,3,1741275456180475471,-0.004857597,-0.0011717929,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
800982363,3,1741275456190675471,-0.004857597,-0.0011717929,0.0026844665,-0.0045848875,-0.0012655376,0.0014743246
