mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
800982445,3,4.7125,7.5375,149.4875,-28.0,-47.0,180.0
800982455,3,4.775,7.5625,149.475,-28.0,-47.0,180.0
800982464,3,4.8375,7.6,149.46251,-28.0,-47.0,180.0
800982474,3,4.8875003,7.6125,149.4875,-28.0,-47.0,180.0
800982483,3,4.9375,7.6375003,149.5125,-28.0,-47.0,180.0
800982493,3,4.9500003,7.6375003,149.58751,-28.0,-47.0,180.0
800982502,3,4.9500003,7.625,149.6625,-28.0,-47.0,180.0
800982512,3,4.9375,7.6125,149.77501,-28.0,-47.0,180.0
800982521,3,4.9125,7.5875,149.875,-28.0,-47.0,180.0
800982531,3,4.9,7.5750003,149.975,-28.0,-47.0,180.0
800982540,3,4.9,7.5750003,150.05,-28.0,-47.0,180.0
800982550,3,4.9,7.6,150.1125,-28.0,-47.0,180.0
800982559,3,4.9,7.6,150.125,-28.0,-47.0,180.0
800982569,3,4.9125,7.625,150.075,-28.0,-47.0,180.0
800982578,3,4.9375,7.65,150.0375,-28.0,-47.0,180.0
800982588,3,4.9500003,7.65,149.9875,-28.0,-47.0,180.0
800982597,3,4.9875,7.6625,149.9125,-28.0,-47.0,180.0
800982607,3,5.0,7.6625,149.83751,-28.0,-47.0,180.0
800982616,3,5.0,7.6625,149.8,-28.0,-47.0,180.0
800982626,3,4.9875,7.6375003,149.7375,-28.0,-47.0,180.0
800982635,3,4.9625,7.625,149.71251,-28.0,-47.0,180.0
800982645,3,4.9375,7.6125,149.7,-28.0,-47.0,180.0
800982654,3,4.9,7.5875,149.7,-28.0,-47.0,180.0
800982664,3,4.9,7.6125,149.65001,-28.0,-47.0,180.0
800982673,3,4.8625,7.6125,149.65001,-28.0,-47.0,180.0
800982683,3,4.85,7.625,149.625,-28.0,-47.0,180.0
800982692,3,4.8375,7.625,149.6125,-28.0,-47.0,180.0
800982702,3,4.8250003,7.6375003,149.6375,-28.0,-47.0,180.0
