baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
800990622,3,977.25543
800990653,3,977.2527
800990684,3,977.24475
800990716,3,977.2485
800990747,3,977.2426
800990778,3,977.24945
800990809,3,977.2548
800990840,3,977.24475
800990872,3,977.2335
800990903,3,977.2309
800990934,3,977.2426
800990965,3,977.2309
800990997,3,977.2335
800991028,3,977.2399
800991059,3,977.2201
800991090,3,977.20953
800991122,3,977.2238
800991153,3,977.22925
800991184,3,977.20953
800991215,3,977.2101
800991247,3,977.22925
800991278,3,977.2025
800991309,3,977.2025
800991340,3,977.1994
800991372,3,977.2158
800991403,3,977.19995
800991434,3,977.2016
800991466,3,977.1813
800991497,3,977.19727
800991528,3,977.19775
800991559,3,977.2064
800991590,3,977.1766
800991622,3,977.1953
800991653,3,977.17926
800991684,3,977.2038
800991715,3,977.19635
800991747,3,977.2
800991778,3,977.18195
800991809,3,977.2
800991840,3,977.18195
800991872,3,977.1803
800991903,3,977.183
800991934,3,977.21014
800991965,3,977.1894
800991997,3,977.2065
800992028,3,977.18567
800992059,3,977.1803
800992090,3,977.1601
800992122,3,977.184
800992153,3,977.18726
800992184,3,977.1702
800992215,3,977.1659
800992247,3,977.1734
800992278,3,977.183
800992309,3,977.1755
800992340,3,977.176
800992372,3,977.18195
800992403,3,977.1825
800992434,3,977.1749
800992465,3,977.1601
800992497,3,977.18567
800992528,3,977.18567
800992559,3,977.1601
800992590,3,977.18195
800992622,3,977.1876
800992653,3,977.18555
800992684,3,977.1589
800992715,3,977.1861
800992747,3,977.1749
800992778,3,977.19025
800992809,3,977.185
800992840,3,977.1791
800992872,3,977.1807
800992903,3,977.178
800992934,3,977.16095
800992966,3,977.17755
800992997,3,977.1872
800993028,3,977.1727
800993059,3,977.1887
800993090,3,977.1861
800993122,3,977.1738
800993153,3,977.1768
800993184,3,977.1807
800993215,3,977.1919
800993247,3,977.1807
800993278,3,977.18555
800993309,3,977.18335
800993340,3,977.19354
800993372,3,977.1768
800993403,3,977.17596
800993434,3,977.1768
800993465,3,977.15625
800993497,3,977.1861
800993528,3,977.1637
800993559,3,977.1716
800993590,3,977.1881
800993622,3,977.184
800993653,3,977.18024
800993684,3,977.1813
800993715,3,977.184
800993747,3,977.1652
800993778,3,977.18665
800993809,3,977.1622
800993840,3,977.1652
800993872,3,977.1782
800993903,3,977.1983
800993934,3,977.1632
800993965,3,977.184
800993997,3,977.18024
800994028,3,977.1792
800994059,3,977.1782
800994090,3,977.1606
800994122,3,977.1899
800994153,3,977.1829
800994184,3,977.18555
800994215,3,977.1899
