timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
489,800981830,0.0050396346,-0.0027488915,0.0018325944,0.12771691,-9.7704935,0.23629123,4.8875003,7.525,150.08751,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
499,800981840,0.0051923506,-0.0016798781,0.002290743,0.10707881,-9.770194,0.24137598,4.85,7.525,150.15001,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
509,800981850,0.005345067,-0.0013744457,0.0024434591,0.10767702,-9.773783,0.23868406,4.8250003,7.525,150.1625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
519,800981860,0.0051923506,-0.0016798781,0.0016798781,0.09421739,-9.763314,0.24825534,4.7875,7.525,150.125,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
529,800981870,0.004581486,-0.0021380268,0.0021380268,0.116351,-9.766904,0.23718855,4.775,7.5375,150.08751,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
539,800981880,0.004734202,-0.0016798781,0.0016798781,0.10707881,-9.764811,0.23419751,4.7625003,7.525,150.0125,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
549,800981890,0.0048869182,-0.0010690134,0.0021380268,0.11964113,-9.760024,0.23629123,4.75,7.5375,149.925,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
559,800981900,0.004581486,-0.0012217296,0.0027488915,0.122931264,-9.772587,0.24047868,4.7375,7.55,149.83751,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
569,800981910,0.004581486,-0.0019853106,0.0018325944,0.111864455,-9.766006,0.2434697,4.7000003,7.55,149.75,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
579,800981920,0.003970621,-0.0024434591,0.0016798781,0.11694921,-9.765707,0.23958136,4.6625,7.5375,149.6875,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
