acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
800982442,3,1741275456269753127,0.11365908,-9.761819,0.23808585
800982452,3,1741275456279902607,0.12203395,-9.772587,0.24735804
800982462,3,1741275456289954429,0.11246266,-9.769297,0.22971097
800982472,3,1741275456299937815,0.12113664,-9.763314,0.23569304
800982482,3,1741275456309921773,0.12412767,-9.756734,0.2330011
800982492,3,1741275456319905107,0.11545369,-9.778569,0.22821546
800982502,3,1741275456329863752,0.116650105,-9.767502,0.24526432
800982512,3,1741275456339787190,0.12831512,-9.761221,0.22911277
800982522,3,1741275456349968596,0.10857433,-9.772587,0.23808585
800982532,3,1741275456360150523,0.112761766,-9.766306,0.24975087
800982542,3,1741275456370215107,0.10887343,-9.769297,0.2416751
800982552,3,1741275456380302763,0.11964113,-9.753145,0.23748764
800982562,3,1741275456390366982,0.112761766,-9.753445,0.24137598
800982572,3,1741275456400454638,0.12502499,-9.757333,0.23569304
800982582,3,1741275456410518857,0.119940236,-9.766904,0.24436702
800982592,3,1741275456420536200,0.11934203,-9.761819,0.22851457
800982603,3,1741275456430717607,0.11784652,-9.760024,0.23030917
800982613,3,1741275456440899534,0.11934203,-9.759128,0.23898315
800982623,3,1741275456451081825,0.12113664,-9.754341,0.23330021
800982633,3,1741275456461264117,0.09960124,-9.761819,0.22492532
800982643,3,1741275456471328700,0.119940236,-9.7609215,0.23330021
800982653,3,1741275456481404638,0.12233306,-9.763314,0.23868406
800982663,3,1741275456491586044,0.111864455,-9.766904,0.23718855
800982674,3,1741275456501767971,0.119042926,-9.768699,0.232702
800982684,3,1741275456511832554,0.117547415,-9.7609215,0.22911277
800982694,3,1741275456521826461,0.12562318,-9.769596,0.23958136
800982704,3,1741275456531902659,0.12981063,-9.764811,0.24376881
800982714,3,1741275456541893752,0.12323037,-9.782158,0.23539393
800982724,3,1741275456551877346,0.1058824,-9.777672,0.23718855
800982734,3,1741275456561860263,0.12771691,-9.766006,0.22671995
800982744,3,1741275456571736513,0.11006984,-9.767203,0.23688944
800982754,3,1741275456581753596,0.11515459,-9.765109,0.24137598
800982764,3,1741275456591806096,0.12113664,-9.763016,0.23838496
800982774,3,1741275456601905471,0.12801601,-9.763314,0.23419751
800982784,3,1741275456611957971,0.11485548,-9.764811,0.22402802
800982794,3,1741275456621998752,0.112761766,-9.759128,0.23599213
800982804,3,1741275456632180159,0.118145615,-9.757333,0.2434697
800982814,3,1741275456642287659,0.109471634,-9.765707,0.24077778
800982824,3,1741275456652300419,0.12083755,-9.7681,0.23090738
800982834,3,1741275456662284065,0.11694921,-9.770194,0.24496523
800982844,3,1741275456672268023,0.116650105,-9.760623,0.23898315
800982854,3,1741275456682251409,0.11395818,-9.767502,0.23688944
800982864,3,1741275456692233909,0.110368945,-9.764212,0.23509483
800982874,3,1741275456702218179,0.12622139,-9.762417,0.23808585
800982884,3,1741275456712202190,0.116650105,-9.767203,0.232702
800982894,3,1741275456722185836,0.124426775,-9.77468,0.23599213
800982904,3,1741275456732169221,0.11246266,-9.768399,0.21385853
