Rotation Vector  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
800982613,3,-0.49319035,-0.4944207,0.5004453,0.51172835,-1.0
800982623,3,-0.49341413,-0.49419767,0.500208,0.5119601,-1.0
800982633,3,-0.4936227,-0.4939952,0.4999874,0.5121699,-1.0
800982643,3,-0.49383044,-0.49379665,0.49979168,0.51235205,-1.0
800982653,3,-0.49401388,-0.49361923,0.4995947,0.5125383,-1.0
800982663,3,-0.49418935,-0.49344325,0.4994079,0.5127206,-1.0
800982674,3,-0.49451867,-0.4931127,0.49907216,0.5130479,-1.0
800982684,3,-0.49466783,-0.49296838,0.49891824,0.5131925,-1.0
800982694,3,-0.49480823,-0.49283707,0.4987741,0.5133233,-1.0
800982704,3,-0.49493942,-0.49270183,0.49862745,0.5134691,-1.0
800982714,3,-0.4950636,-0.49257267,0.49848557,0.5136111,-1.0
800982724,3,-0.49518368,-0.49245366,0.49835527,0.51373583,-1.0
800982734,3,-0.4953073,-0.49232733,0.498237,0.5138525,-1.0
800982744,3,-0.49541345,-0.49222684,0.4981188,0.513961,-1.0
800982754,3,-0.4955235,-0.49211708,0.49801058,0.51406485,-1.0
800982764,3,-0.49562758,-0.49200842,0.49790382,0.51417196,-1.0
800982774,3,-0.49572232,-0.4919127,0.49779883,0.5142739,-1.0
800982784,3,-0.49581012,-0.4918296,0.49769884,0.51436543,-1.0
800982794,3,-0.49589717,-0.49175337,0.4976087,0.51444167,-1.0
800982804,3,-0.49598438,-0.49167067,0.49752107,0.51452136,-1.0
800982814,3,-0.49607036,-0.4915764,0.49743125,0.51461536,-1.0
800982824,3,-0.49615708,-0.49148464,0.49735096,0.5146971,-1.0
800982834,3,-0.49622834,-0.4914198,0.49726903,0.5147694,-1.0
800982844,3,-0.49637437,-0.49126574,0.497113,0.5149263,-1.0
800982854,3,-0.4964446,-0.49119288,0.49704054,0.5149981,-1.0
800982864,3,-0.49651313,-0.49112275,0.49697185,0.5150652,-1.0
800982874,3,-0.49657938,-0.49105775,0.49690667,0.51512617,-1.0
800982884,3,-0.49663562,-0.4909991,0.49683544,0.51519656,-1.0
800982894,3,-0.49669287,-0.49094573,0.49677303,0.5152524,-1.0
800982904,3,-0.49675056,-0.49088535,0.4967103,0.51531476,-1.0
800982914,3,-0.49680424,-0.49085283,0.4966624,0.51534015,-1.0
800982924,3,-0.4968594,-0.4908128,0.49661517,0.51537067,-1.0
800982934,3,-0.4969127,-0.49076548,0.49656337,0.51541424,-1.0
800982944,3,-0.49696636,-0.4907162,0.4965142,0.5154568,-1.0
800982954,3,-0.49701458,-0.49066365,0.4964567,0.5155157,-1.0
800982964,3,-0.49705732,-0.4906234,0.49640173,0.5155657,-1.0
800982974,3,-0.49710366,-0.49057707,0.49635196,0.515613,-1.0
800982984,3,-0.49714732,-0.49053755,0.4963048,0.5156539,-1.0
800982994,3,-0.4971934,-0.4904886,0.49625817,0.51570094,-1.0
800983004,3,-0.49723443,-0.4904427,0.4962092,0.51575214,-1.0
800983014,3,-0.49726984,-0.49041116,0.49616247,0.515793,-1.0
800983024,3,-0.49730486,-0.49037915,0.4961172,0.5158332,-1.0
800983034,3,-0.49738058,-0.49030134,0.49603397,0.5159142,-1.0
800983044,3,-0.4974176,-0.49026752,0.49599636,0.5159468,-1.0
800983054,3,-0.49745607,-0.49022466,0.49595746,0.5159879,-1.0
800983064,3,-0.49749073,-0.4901877,0.49591807,0.51602733,-1.0
800983074,3,-0.49752054,-0.49016866,0.4958832,0.5160503,-1.0
800983084,3,-0.49755135,-0.49014252,0.49584788,0.51607925,-1.0
800983094,3,-0.49758366,-0.49011233,0.49581444,0.51610893,-1.0
800983104,3,-0.49761686,-0.49007922,0.49578178,0.51613975,-1.0
800983114,3,-0.49764705,-0.4900536,0.49575093,0.5161646,-1.0
800983124,3,-0.4976713,-0.49004224,0.4957206,0.5161812,-1.0
800983134,3,-0.49769694,-0.49002296,0.49568942,0.51620466,-1.0
800983144,3,-0.49772516,-0.48999453,0.4956577,0.51623493,-1.0
800983154,3,-0.49775416,-0.48995766,0.49562347,0.5162748,-1.0
800983164,3,-0.49777856,-0.48994142,0.49559578,0.5162932,-1.0
800983174,3,-0.49781066,-0.48990375,0.4955674,0.5163253,-1.0
800983185,3,-0.49783754,-0.48988312,0.4955429,0.51634246,-1.0
800983195,3,-0.4978661,-0.48985347,0.49551678,0.51636815,-1.0
800983205,3,-0.49789584,-0.48981604,0.49548978,0.5164009,-1.0
800983215,3,-0.4979439,-0.4897641,0.4954342,0.51645714,-1.0
800983225,3,-0.4979613,-0.4897523,0.49540657,0.51647806,-1.0
800983235,3,-0.49798867,-0.48972443,0.4953851,0.5164986,-1.0
800983245,3,-0.49801052,-0.4897096,0.49536398,0.516512,-1.0
800983255,3,-0.49803418,-0.4896926,0.49534538,0.51652306,-1.0
800983265,3,-0.49805585,-0.4896848,0.49532968,0.5165247,-1.0
800983275,3,-0.4980733,-0.48967513,0.4953077,0.516538,-1.0
800983285,3,-0.4980958,-0.4896555,0.49528795,0.5165539,-1.0
800983295,3,-0.49811357,-0.48963815,0.495263,0.5165771,-1.0
800983305,3,-0.4981341,-0.48961857,0.4952414,0.51659656,-1.0
800983315,3,-0.498132,-0.48962066,0.4952394,0.5165986,-1.0
800983325,3,-0.49812633,-0.48963138,0.49523717,0.516596,-1.0
800983335,3,-0.49812686,-0.4896384,0.4952422,0.51658404,-1.0
800983345,3,-0.49812323,-0.4896404,0.49523786,0.51658976,-1.0
800983355,3,-0.4981189,-0.48965177,0.49523804,0.516583,-1.0
800983365,3,-0.49811825,-0.48966196,0.49524313,0.5165691,-1.0
800983375,3,-0.49811918,-0.48966408,0.49524578,0.5165636,-1.0
800983386,3,-0.49812183,-0.4896669,0.49525148,0.5165529,-1.0
800983396,3,-0.49811965,-0.48966777,0.4952487,0.51655686,-1.0
800983406,3,-0.49811453,-0.4896827,0.4952498,0.5165466,-1.0
800983416,3,-0.49811387,-0.48968276,0.49524882,0.51654816,-1.0
800983426,3,-0.49811006,-0.48969904,0.49525273,0.51653266,-1.0
800983437,3,-0.49810445,-0.48971075,0.4952512,0.51652837,-1.0
800983447,3,-0.49810317,-0.48971906,0.49525422,0.51651883,-1.0
800983457,3,-0.4981071,-0.48971683,0.49525884,0.51651275,-1.0
800983467,3,-0.49809605,-0.48973823,0.49525476,0.5165071,-1.0
800983477,3,-0.4980971,-0.48975152,0.4952643,0.5164843,-1.0
800983487,3,-0.49809876,-0.48974857,0.49526504,0.51648474,-1.0
800983497,3,-0.49809885,-0.48974782,0.49526477,0.51648563,-1.0
800983506,3,-0.49809632,-0.48975506,0.49526522,0.5164808,-1.0
800983516,3,-0.49809948,-0.4897573,0.49527133,0.5164698,-1.0
800983526,3,-0.49810317,-0.48975644,0.49527642,0.51646215,-1.0
800983536,3,-0.49810323,-0.4897664,0.49528244,0.5164468,-1.0
800983546,3,-0.498106,-0.4897639,0.49528518,0.5164439,-1.0
800983557,3,-0.49809968,-0.48978254,0.49528664,0.516431,-1.0
800983567,3,-0.4980994,-0.4897891,0.49529016,0.5164216,-1.0
800983577,3,-0.4980989,-0.48979738,0.49529436,0.5164102,-1.0
800983587,3,-0.49809447,-0.48981524,0.49529818,0.5163939,-1.0
800983597,3,-0.49809653,-0.48982176,0.4953052,0.51637894,-1.0
800983607,3,-0.4980967,-0.48984224,0.4953177,0.5163474,-1.0
800983617,3,-0.49808767,-0.48986527,0.49531767,0.5163343,-1.0
800983627,3,-0.49808654,-0.48986763,0.49531737,0.51633346,-1.0
800983637,3,-0.49808154,-0.48987857,0.4953163,0.5163289,-1.0
800983647,3,-0.49807498,-0.48988366,0.49530932,0.5163371,-1.0
800983657,3,-0.49807164,-0.4899025,0.49531546,0.51631653,-1.0
800983667,3,-0.49807167,-0.48990753,0.4953185,0.51630884,-1.0
800983677,3,-0.49806765,-0.4899166,0.49531782,0.5163048,-1.0
800983687,3,-0.4980631,-0.48993894,0.49532416,0.51628184,-1.0
800983697,3,-0.49806404,-0.48993692,0.4953244,0.5162827,-1.0
800983707,3,-0.49805883,-0.48995182,0.49532536,0.5162726,-1.0
800983717,3,-0.49805915,-0.48995325,0.49532673,0.5162696,-1.0
800983728,3,-0.4980541,-0.4899713,0.49532977,0.5162545,-1.0
800983738,3,-0.49804717,-0.4899797,0.49532425,0.5162584,-1.0
800983748,3,-0.4980437,-0.48998716,0.4953234,0.5162556,-1.0
800983758,3,-0.49804884,-0.4899768,0.4953251,0.5162588,-1.0
800983768,3,-0.498047,-0.48998594,0.4953277,0.51624936,-1.0
800983779,3,-0.4980483,-0.489992,0.49533328,0.516237,-1.0
800983789,3,-0.4980445,-0.49000704,0.49533644,0.5162234,-1.0
800983799,3,-0.498042,-0.49001437,0.49533704,0.5162183,-1.0
800983809,3,-0.4980415,-0.49002305,0.49534148,0.51620626,-1.0
800983819,3,-0.498045,-0.49002516,0.49534807,0.5161946,-1.0
800983829,3,-0.49804097,-0.49003667,0.49534878,0.51618683,-1.0
800983840,3,-0.49803537,-0.49005243,0.49534965,0.5161764,-1.0
800983850,3,-0.49803498,-0.49006554,0.4953569,0.5161574,-1.0
800983860,3,-0.498034,-0.49007812,0.49536288,0.51614064,-1.0
800983870,3,-0.49803317,-0.49008092,0.4953633,0.5161384,-1.0
800983880,3,-0.49803498,-0.49008116,0.49536616,0.51613367,-1.0
800983891,3,-0.49802953,-0.49009332,0.4953651,0.5161284,-1.0
800983901,3,-0.49802348,-0.49010468,0.49536267,0.5161258,-1.0
800983911,3,-0.49801794,-0.4901222,0.4953647,0.51611257,-1.0
800983921,3,-0.49802017,-0.49011764,0.49536538,0.5161141,-1.0
800983931,3,-0.49801862,-0.49012807,0.49536923,0.516102,-1.0
800983941,3,-0.4980164,-0.49013153,0.4953679,0.51610214,-1.0
800983951,3,-0.49801528,-0.4901329,0.49536702,0.51610273,-1.0
800983962,3,-0.4980085,-0.49015602,0.4953705,0.516084,-1.0
800983972,3,-0.49800402,-0.4901662,0.49536973,0.5160794,-1.0
800983982,3,-0.4979999,-0.49017876,0.49537098,0.51607025,-1.0
800983992,3,-0.49799037,-0.4901986,0.4953683,0.5160631,-1.0
800984002,3,-0.4979902,-0.49020666,0.49537283,0.51605135,-1.0
800984012,3,-0.49799252,-0.49021563,0.4953817,0.51603204,-1.0
800984022,3,-0.49799475,-0.4902202,0.49538782,0.51601964,-1.0
800984032,3,-0.49799117,-0.4902361,0.4953919,0.5160041,-1.0
800984041,3,-0.4979922,-0.49023685,0.49539384,0.5160005,-1.0
800984051,3,-0.49799463,-0.49023807,0.4953983,0.5159927,-1.0
800984061,3,-0.49798712,-0.49026325,0.4954019,0.5159726,-1.0
800984071,3,-0.49798024,-0.49028298,0.49540317,0.51595926,-1.0
800984081,3,-0.49798056,-0.49029192,0.49540904,0.51594484,-1.0
800984091,3,-0.49797937,-0.49030352,0.49541414,0.51593006,-1.0
800984101,3,-0.49797633,-0.4903225,0.49542084,0.5159085,-1.0
800984111,3,-0.4979741,-0.49033526,0.49542502,0.5158946,-1.0
800984121,3,-0.49797934,-0.49033213,0.49543115,0.51588655,-1.0
800984131,3,-0.4979781,-0.49034038,0.4954342,0.515877,-1.0
800984141,3,-0.4979681,-0.49036625,0.4954344,0.5158618,-1.0
800984151,3,-0.49796802,-0.4903759,0.49544007,0.5158473,-1.0
800984161,3,-0.4979672,-0.49037904,0.49544066,0.5158446,-1.0
800984171,3,-0.4979705,-0.49037236,0.4954417,0.5158467,-1.0
800984181,3,-0.49796596,-0.4903923,0.49544668,0.51582736,-1.0
800984191,3,-0.49797183,-0.4903799,0.49544823,0.515832,-1.0
800984201,3,-0.49797192,-0.49038872,0.49545363,0.51581836,-1.0
800984211,3,-0.49796864,-0.4903965,0.4954533,0.5158144,-1.0
800984221,3,-0.49796975,-0.49040046,0.49545732,0.5158057,-1.0
800984231,3,-0.49796855,-0.49041277,0.49546283,0.51578987,-1.0
800984241,3,-0.49796957,-0.49042,0.49546874,0.51577634,-1.0
800984251,3,-0.4979676,-0.4904286,0.49547085,0.51576805,-1.0
800984261,3,-0.49796087,-0.49044392,0.49546975,0.515761,-1.0
800984271,3,-0.4979647,-0.49043596,0.49547085,0.5157639,-1.0
800984281,3,-0.49796242,-0.49044397,0.49547213,0.5157572,-1.0
800984291,3,-0.4979627,-0.49045327,0.49547815,0.5157423,-1.0
800984301,3,-0.4979594,-0.49046996,0.49548307,0.5157249,-1.0
800984311,3,-0.4979619,-0.49047586,0.4954904,0.5157098,-1.0
800984321,3,-0.49796468,-0.49047706,0.49549538,0.51570123,-1.0
800984331,3,-0.49796355,-0.4904896,0.49550113,0.5156849,-1.0
800984341,3,-0.49796137,-0.49050474,0.49550685,0.5156671,-1.0
800984351,3,-0.49795717,-0.49052688,0.49551368,0.51564354,-1.0
800984361,3,-0.49795744,-0.49052596,0.49551353,0.5156443,-1.0
800984371,3,-0.49795613,-0.49054295,0.4955217,0.5156215,-1.0
800984381,3,-0.49795735,-0.49054348,0.49552387,0.5156178,-1.0
800984391,3,-0.49795365,-0.49056244,0.4955296,0.51559776,-1.0
800984401,3,-0.4979507,-0.4905714,0.49553043,0.51559126,-1.0
800984411,3,-0.49794704,-0.49058154,0.4955309,0.51558477,-1.0
800984421,3,-0.49794042,-0.49060008,0.49553186,0.51557255,-1.0
800984431,3,-0.49793717,-0.4906091,0.49553233,0.51556665,-1.0
800984441,3,-0.4979402,-0.49061012,0.49553755,0.5155577,-1.0
800984451,3,-0.49793977,-0.49060825,0.49553576,0.5155617,-1.0
800984461,3,-0.49793458,-0.49061954,0.49553463,0.51555705,-1.0
800984471,3,-0.49793357,-0.49062356,0.49553546,0.51555336,-1.0
800984481,3,-0.49792722,-0.49063823,0.49553454,0.51554644,-1.0
800984491,3,-0.49792734,-0.49063227,0.49553114,0.51555526,-1.0
800984501,3,-0.49792632,-0.490638,0.49553302,0.515549,-1.0
800984511,3,-0.497933,-0.4906237,0.4955347,0.51555455,-1.0
800984521,3,-0.49792838,-0.49063927,0.49553692,0.51554203,-1.0
800984531,3,-0.49792644,-0.49064246,0.49553588,0.5155419,-1.0
800984541,3,-0.49792463,-0.49064782,0.49553633,0.5155381,-1.0
800984551,3,-0.49792245,-0.49066156,0.4955412,0.5155224,-1.0
800984561,3,-0.49791983,-0.49067086,0.49554276,0.5155146,-1.0
800984571,3,-0.49791926,-0.49067712,0.49554566,0.5155064,-1.0
800984581,3,-0.49791974,-0.49068603,0.49555168,0.5154917,-1.0
800984591,3,-0.49791908,-0.4906961,0.4955567,0.5154779,-1.0
800984601,3,-0.4979173,-0.49070558,0.4955597,0.51546776,-1.0
800984611,3,-0.49791646,-0.49071175,0.49556208,0.5154604,-1.0
800984621,3,-0.49791557,-0.49071926,0.49556524,0.5154511,-1.0
800984631,3,-0.4979071,-0.4907443,0.49556726,0.51543343,-1.0
800984641,3,-0.49791017,-0.49074394,0.49557173,0.5154265,-1.0
800984650,3,-0.49790683,-0.4907559,0.4955738,0.51541644,-1.0
800984660,3,-0.49790582,-0.4907657,0.49557808,0.5154039,-1.0
800984670,3,-0.4979078,-0.4907619,0.49557883,0.51540494,-1.0
800984680,3,-0.49790826,-0.49076685,0.49558255,0.5153962,-1.0
800984690,3,-0.497905,-0.49077865,0.4955846,0.5153861,-1.0
800984700,3,-0.49790347,-0.49078423,0.49558562,0.5153813,-1.0
800984710,3,-0.49790108,-0.49079597,0.495589,0.5153692,-1.0
800984720,3,-0.4978996,-0.49079275,0.4955848,0.5153777,-1.0
800984730,3,-0.4979002,-0.49078646,0.49558192,0.51538587,-1.0
800984740,3,-0.49790165,-0.49078438,0.4955829,0.5153855,-1.0
800984750,3,-0.49790612,-0.49077365,0.49558333,0.515391,-1.0
800984760,3,-0.49791086,-0.49075973,0.49558222,0.51540077,-1.0
800984770,3,-0.49790773,-0.49076805,0.49558243,0.51539564,-1.0
800984780,3,-0.49790508,-0.49077767,0.4955841,0.5153874,-1.0
800984790,3,-0.4978992,-0.49079,0.49558255,0.5153828,-1.0
800984800,3,-0.49789855,-0.4907976,0.49558613,0.5153728,-1.0
800984810,3,-0.4978929,-0.49081498,0.49558783,0.5153601,-1.0
800984820,3,-0.49789184,-0.49081418,0.4955858,0.5153638,-1.0
800984830,3,-0.4978917,-0.49081224,0.4955844,0.51536715,-1.0
800984840,3,-0.49789667,-0.49079844,0.49558374,0.5153761,-1.0
800984850,3,-0.49789724,-0.49080518,0.4955886,0.51536447,-1.0
800984860,3,-0.49790028,-0.49080735,0.49559456,0.51535374,-1.0
800984870,3,-0.4978921,-0.49081734,0.49558806,0.5153584,-1.0
800984880,3,-0.4978932,-0.49080923,0.49558493,0.51536804,-1.0
800984890,3,-0.49789205,-0.4908221,0.49559087,0.5153512,-1.0
800984900,3,-0.49788743,-0.4908289,0.49558786,0.5153521,-1.0
800984910,3,-0.49788862,-0.49082482,0.4955872,0.51535547,-1.0
800984920,3,-0.4978874,-0.49082977,0.49558833,0.5153508,-1.0
800984930,3,-0.49788758,-0.49083632,0.49559253,0.5153404,-1.0
800984940,3,-0.4978905,-0.49082977,0.49559304,0.5153433,-1.0
800984950,3,-0.49789286,-0.49082786,0.4955955,0.51534045,-1.0
800984960,3,-0.49788612,-0.49083823,0.49559143,0.51534104,-1.0
800984970,3,-0.497891,-0.49082673,0.495592,0.51534677,-1.0
800984980,3,-0.49789092,-0.4908244,0.4955905,0.5153504,-1.0
800984990,3,-0.49788517,-0.49083415,0.49558753,0.51534957,-1.0
800985000,3,-0.49789074,-0.49082485,0.49559048,0.5153502,-1.0
800985010,3,-0.49788707,-0.49083856,0.49559307,0.5153382,-1.0
800985020,3,-0.4978905,-0.49083188,0.4955943,0.5153401,-1.0
800985030,3,-0.49789003,-0.4908451,0.4956015,0.515321,-1.0
800985040,3,-0.49788928,-0.49085563,0.49560666,0.5153068,-1.0
800985050,3,-0.4978854,-0.49086314,0.49560526,0.5153047,-1.0
800985060,3,-0.49788588,-0.49086234,0.49560547,0.5153048,-1.0
800985070,3,-0.49788752,-0.49086568,0.49561,0.5152957,-1.0
800985080,3,-0.4978891,-0.4908621,0.4956103,0.5152973,-1.0
