Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
801244358,3,-0.4931949,-0.4985239,0.501467,0.50671846
801244368,3,-0.49319002,-0.4985272,0.50146365,0.5067233
801244378,3,-0.49318975,-0.49852794,0.5014629,0.5067235
801244388,3,-0.4931871,-0.49853054,0.50146025,0.5067261
801244398,3,-0.49317646,-0.49853364,0.5014571,0.5067365
801244408,3,-0.49317273,-0.4985347,0.50145614,0.50674015
801244418,3,-0.49318016,-0.49854326,0.5014478,0.50673276
801244428,3,-0.49318963,-0.49854618,0.50144494,0.50672346
801244438,3,-0.49318603,-0.49853948,0.50145155,0.50672704
801244448,3,-0.49318117,-0.49854055,0.5014504,0.50673187
801244458,3,-0.49317735,-0.49853963,0.50145125,0.50673556
801244468,3,-0.49317646,-0.4985372,0.5014536,0.5067365
801244478,3,-0.49317518,-0.4985331,0.50145763,0.50673777
801244488,3,-0.49317822,-0.49853256,0.5014581,0.5067348
801244498,3,-0.49317217,-0.4985334,0.5014574,0.50674075
801244508,3,-0.49317157,-0.49852878,0.50146186,0.50674134
801244518,3,-0.49317077,-0.49852642,0.50146425,0.5067422
801244528,3,-0.49317035,-0.49852487,0.50146574,0.5067426
801244538,3,-0.49317276,-0.49852905,0.5014616,0.5067402
801244548,3,-0.49316502,-0.49852592,0.5014647,0.50674784
801244558,3,-0.4931613,-0.4985211,0.5014694,0.50675154
801244568,3,-0.49316117,-0.49852732,0.5014633,0.5067516
801244578,3,-0.49315447,-0.49852106,0.5014694,0.5067583
801244588,3,-0.49315754,-0.49852675,0.50146383,0.5067552
801244598,3,-0.49315873,-0.49852315,0.5014673,0.50675404
801244608,3,-0.4931462,-0.49852902,0.5014614,0.50676626
801244618,3,-0.49315014,-0.49852794,0.5014625,0.50676244
801244628,3,-0.49315384,-0.4985271,0.5014633,0.5067588
801244638,3,-0.49315268,-0.49852854,0.5014619,0.50675994
801244648,3,-0.49315628,-0.49852505,0.50146544,0.5067564
801244658,3,-0.4931586,-0.49852526,0.50146514,0.5067541
801244668,3,-0.49316096,-0.49852514,0.5014654,0.50675184
801244678,3,-0.493165,-0.498524,0.5014665,0.5067479
801244688,3,-0.49317005,-0.49852672,0.50146395,0.5067429
801244698,3,-0.49316788,-0.49852335,0.50146717,0.50674504
801244708,3,-0.4931615,-0.4985225,0.50146794,0.5067513
801244718,3,-0.49315742,-0.4985268,0.5014637,0.5067553
801244728,3,-0.49315363,-0.4985236,0.5014668,0.506759
801244738,3,-0.49315196,-0.4985196,0.5014707,0.5067607
801244748,3,-0.49315447,-0.49852163,0.5014688,0.5067582
801244758,3,-0.49315256,-0.4985187,0.50147164,0.5067601
801244768,3,-0.49315673,-0.49852356,0.50146693,0.506756
801244777,3,-0.4931492,-0.49852312,0.5014673,0.5067634
801244787,3,-0.49314848,-0.49852082,0.5014696,0.5067641
801244797,3,-0.49314055,-0.49852163,0.5014686,0.5067719
801244807,3,-0.4931413,-0.4985205,0.5014699,0.5067712
801244817,3,-0.49313906,-0.49852732,0.501463,0.50677335
801244827,3,-0.4931451,-0.49853137,0.5014591,0.50676733
801244837,3,-0.49314514,-0.498533,0.5014575,0.5067673
801244847,3,-0.49314436,-0.49852955,0.5014609,0.5067681
801244857,3,-0.49314266,-0.49853572,0.5014548,0.5067697
801244867,3,-0.4931458,-0.49853313,0.5014574,0.5067666
801244877,3,-0.4931536,-0.49853757,0.50145304,0.5067589
801244887,3,-0.49315247,-0.49853918,0.50145155,0.50676006
801244897,3,-0.49315086,-0.498536,0.50145465,0.5067616
801244907,3,-0.4931551,-0.49853298,0.5014577,0.5067575
801244917,3,-0.49315694,-0.4985334,0.5014572,0.50675565
801244927,3,-0.4931553,-0.49853268,0.50145787,0.5067573
801244937,3,-0.4931547,-0.49853182,0.50145876,0.5067579
801244947,3,-0.49314427,-0.49853003,0.5014605,0.50676817
801244957,3,-0.49314654,-0.49853572,0.5014549,0.5067659
801244967,3,-0.4931409,-0.49853873,0.50145185,0.5067714
801244977,3,-0.4931375,-0.4985462,0.50144446,0.50677466
801244987,3,-0.49314612,-0.49853855,0.501452,0.50676626
801244997,3,-0.49314588,-0.4985393,0.5014513,0.5067665
801245007,3,-0.49315083,-0.4985383,0.50145245,0.50676167
801245017,3,-0.49315175,-0.49854016,0.5014506,0.5067608
801245027,3,-0.4931516,-0.49854147,0.5014493,0.5067609
801245037,3,-0.49315155,-0.49854547,0.5014453,0.5067609
801245047,3,-0.4931508,-0.49854794,0.50144285,0.5067616
801245057,3,-0.49315947,-0.49855173,0.5014393,0.506753
801245067,3,-0.49315575,-0.49855176,0.50143915,0.50675666
801245077,3,-0.49315882,-0.49855316,0.5014378,0.5067537
801245087,3,-0.493159,-0.49855044,0.5014406,0.50675356
801245097,3,-0.49315894,-0.49855003,0.50144094,0.5067536
801245107,3,-0.4931505,-0.4985613,0.50142974,0.5067617
801245117,3,-0.49315402,-0.49856144,0.5014295,0.5067583
801245127,3,-0.4931577,-0.49856597,0.5014252,0.50675464
801245137,3,-0.49315172,-0.49856547,0.50142556,0.50676054
801245147,3,-0.49315456,-0.4985598,0.5014312,0.50675774
801245157,3,-0.4931539,-0.49855798,0.50143296,0.50675845
801245167,3,-0.49315676,-0.49856257,0.50142854,0.5067556
801245177,3,-0.49315977,-0.4985667,0.5014244,0.5067526
801245187,3,-0.4931547,-0.49856257,0.5014284,0.5067576
801245197,3,-0.49315816,-0.4985625,0.50142854,0.5067542
801245207,3,-0.49315554,-0.49856752,0.5014236,0.5067568
801245217,3,-0.49315622,-0.4985641,0.501427,0.5067561
801245227,3,-0.4931537,-0.498563,0.5014281,0.5067586
801245237,3,-0.4931604,-0.49855596,0.501435,0.5067521
801245247,3,-0.49316448,-0.498558,0.501433,0.5067481
801245257,3,-0.4931643,-0.49856573,0.50142545,0.50674814
801245267,3,-0.4931615,-0.49856448,0.5014267,0.50675094
801245277,3,-0.49316353,-0.49856594,0.50142527,0.5067489
801245287,3,-0.4931638,-0.4985681,0.5014231,0.5067487
801245297,3,-0.49316683,-0.49857548,0.5014159,0.5067456
801245307,3,-0.49316594,-0.4985742,0.50141716,0.5067465
801245317,3,-0.4931641,-0.4985799,0.5014115,0.50674826
801245327,3,-0.49316216,-0.49858478,0.50140655,0.50675005
801245337,3,-0.49315917,-0.49858826,0.5014033,0.50675297
801245347,3,-0.49315554,-0.49859098,0.50140053,0.50675654
801245357,3,-0.4931586,-0.49859545,0.5013961,0.5067535
801245367,3,-0.49316597,-0.49859646,0.5013953,0.50674623
801245377,3,-0.49317038,-0.49859393,0.5013978,0.50674194
801245387,3,-0.49316528,-0.4985924,0.50139916,0.50674695
801245397,3,-0.49316734,-0.4985987,0.50139296,0.50674486
801245406,3,-0.49317122,-0.49859834,0.50139344,0.50674105
801245416,3,-0.4931751,-0.49859652,0.5013952,0.5067373
801245426,3,-0.49317047,-0.49859464,0.50139713,0.5067418
801245436,3,-0.49317,-0.49859804,0.5013938,0.50674224
801245446,3,-0.49316433,-0.4986067,0.501385,0.5067477
801245456,3,-0.49316,-0.4986129,0.501379,0.50675195
801245466,3,-0.49316722,-0.49861142,0.5013805,0.50674486
801245476,3,-0.49317414,-0.49861538,0.5013767,0.50673807
801245486,3,-0.49317726,-0.4986218,0.5013703,0.5067349
801245496,3,-0.49317697,-0.49862513,0.50136715,0.50673515
801245506,3,-0.4931786,-0.49862543,0.50136685,0.50673354
801245516,3,-0.49318528,-0.49861854,0.50137365,0.50672704
801245526,3,-0.49318463,-0.49862543,0.5013668,0.50672764
801245536,3,-0.4931894,-0.49862733,0.50136495,0.5067229
801245546,3,-0.49319106,-0.49863234,0.5013601,0.50672126
801245556,3,-0.49319163,-0.49862957,0.5013628,0.5067207
801245566,3,-0.49319643,-0.4986335,0.501359,0.50671595
801245576,3,-0.49319118,-0.49863598,0.5013565,0.5067211
801245586,3,-0.49318954,-0.4986393,0.50135326,0.5067227
801245596,3,-0.4931951,-0.4986385,0.50135416,0.50671726
801245606,3,-0.4931966,-0.4986395,0.50135314,0.5067157
801245616,3,-0.4931944,-0.49864358,0.50134903,0.50671786
801245626,3,-0.49319828,-0.49864727,0.5013455,0.50671405
801245636,3,-0.4932039,-0.49864623,0.5013465,0.5067085
801245646,3,-0.49320385,-0.4986415,0.5013513,0.5067086
801245656,3,-0.4932131,-0.49863827,0.5013545,0.50669956
801245666,3,-0.49321797,-0.4986367,0.50135595,0.50669473
801245676,3,-0.49322313,-0.49863732,0.5013556,0.5066897
801245686,3,-0.49322143,-0.49864125,0.50135165,0.50669134
801245696,3,-0.4932267,-0.49864554,0.50134736,0.5066861
801245706,3,-0.49322966,-0.4986481,0.5013449,0.5066832
801245716,3,-0.49323747,-0.4986494,0.5013437,0.5066755
801245726,3,-0.4932422,-0.4986502,0.5013429,0.50667083
801245736,3,-0.49324366,-0.49865395,0.5013392,0.50666934
801245746,3,-0.4932422,-0.49865496,0.50133824,0.5066708
801245756,3,-0.49324793,-0.49865118,0.50134194,0.50666517
801245766,3,-0.49325016,-0.49865142,0.5013419,0.506663
801245776,3,-0.49325413,-0.49865076,0.5013425,0.5066591
801245786,3,-0.49324656,-0.4986493,0.5013439,0.50666654
801245796,3,-0.49324644,-0.49864814,0.50134504,0.50666666
801245806,3,-0.49324507,-0.49864644,0.5013467,0.5066681
801245816,3,-0.49325383,-0.49864206,0.5013511,0.5066595
801245826,3,-0.4932529,-0.49865034,0.501343,0.50666034
801245836,3,-0.49325857,-0.4986548,0.5013385,0.5066547
801245846,3,-0.49326456,-0.49865007,0.50134325,0.50664884
801245856,3,-0.49326602,-0.4986476,0.50134575,0.5066474
801245866,3,-0.49326488,-0.49865213,0.50134116,0.5066485
801245876,3,-0.49327067,-0.49865764,0.50133586,0.50664276
801245886,3,-0.49327442,-0.49865425,0.50133926,0.5066391
801245896,3,-0.4932779,-0.49865782,0.5013358,0.5066356
801245906,3,-0.4932762,-0.49865294,0.5013406,0.5066374
801245916,3,-0.4932845,-0.4986565,0.50133723,0.5066292
801245927,3,-0.49328178,-0.4986585,0.5013352,0.50663185
801245937,3,-0.49328277,-0.49864998,0.50134367,0.50663096
801245947,3,-0.49327776,-0.49865118,0.5013424,0.5066359
801245957,3,-0.4932846,-0.49865434,0.50133944,0.5066291
801245967,3,-0.49328586,-0.49865428,0.5013395,0.5066279
801245977,3,-0.49328652,-0.4986599,0.50133395,0.5066272
801245987,3,-0.49328238,-0.49866498,0.5013287,0.5066312
801245997,3,-0.49328107,-0.49866393,0.50132984,0.5066325
801246007,3,-0.49327785,-0.49866617,0.5013277,0.5066356
801246017,3,-0.49327362,-0.49866375,0.50132996,0.50663984
801246027,3,-0.49327937,-0.49866503,0.5013287,0.5066342
801246037,3,-0.49328306,-0.49866527,0.50132847,0.50663054
801246047,3,-0.49328458,-0.49866757,0.50132626,0.506629
801246057,3,-0.49329072,-0.49866948,0.5013245,0.50662297
801246067,3,-0.493295,-0.4986766,0.5013175,0.5066187
801246077,3,-0.49329236,-0.49868172,0.50131243,0.50662124
801246087,3,-0.49329266,-0.49868035,0.5013137,0.50662094
801246097,3,-0.49328887,-0.49868032,0.50131375,0.5066247
801246107,3,-0.49329022,-0.4986789,0.5013151,0.5066234
801246117,3,-0.49329445,-0.49867642,0.50131756,0.5066192
801246127,3,-0.49330127,-0.49867576,0.5013183,0.50661254
801246137,3,-0.49331316,-0.49867377,0.5013204,0.50660086
801246147,3,-0.49332055,-0.49866995,0.5013243,0.50659364
801246156,3,-0.49332437,-0.4986671,0.5013271,0.5065899
801246166,3,-0.49331635,-0.4986706,0.50132346,0.50659776
801246176,3,-0.49332538,-0.49867427,0.50132006,0.5065888
801246186,3,-0.4933279,-0.4986756,0.5013188,0.5065864
