timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
574,801243541,0.0050396346,-0.0016798781,0.002290743,0.1058824,-9.77139,0.1591227,4.3875003,8.0375,150.77501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
584,801243551,0.004734202,-0.0018325944,0.0013744457,0.09720842,-9.755538,0.15583257,4.4125,8.0375,150.8125,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
595,801243562,0.0050396346,-0.0019853106,0.0019853106,0.09571291,-9.766604,0.15433706,4.4500003,8.025001,150.8875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
605,801243572,0.0061086477,-0.0018325944,0.0015271619,0.09601201,-9.769297,0.15523437,4.4625,8.025001,150.9375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
615,801243582,0.0050396346,-0.0013744457,7.6358096E-4,0.10348958,-9.766306,0.1576272,4.4625,8.025001,151.0,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
625,801243592,0.0059559317,-9.162972E-4,9.162972E-4,0.112761766,-9.7609215,0.16360925,4.4500003,8.0625,151.02501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
635,801243602,0.0050396346,-0.0019853106,0.0019853106,0.09960124,-9.763614,0.16600206,4.4375,8.1,151.05,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
645,801243612,0.0050396346,-0.0016798781,0.0016798781,0.10707881,-9.762417,0.15792629,4.4125,8.1,151.0625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
655,801243622,0.0048869182,-0.0012217296,9.162972E-4,0.1055833,-9.772587,0.16061822,4.3625,8.087501,151.0375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
665,801243632,0.004734202,-0.0013744457,0.0025961753,0.10229317,-9.775279,0.15164514,4.3375,8.075,151.0125,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
675,801243642,0.005345067,-0.0013744457,0.0013744457,0.10199407,-9.770194,0.15732808,4.3125,8.05,151.02501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
685,801243652,0.0050396346,-0.0016798781,0.0016798781,0.10348958,-9.766306,0.15493527,4.2875,8.0375,151.0375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
695,801243662,0.0048869182,-0.0016798781,0.0013744457,0.10229317,-9.767502,0.1582254,4.2875,8.0375,151.0375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
705,801243672,0.0059559317,-0.0021380268,4.581486E-4,0.09661021,-9.763614,0.15194423,4.2875,8.0,151.02501,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
715,801243682,0.0048869182,-0.0019853106,0.0015271619,0.0951147,-9.756136,0.16360925,4.275,7.9875,151.0125,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
725,801243692,0.0051923506,-0.0013744457,0.002290743,0.10289137,-9.759128,0.16959131,4.2625003,8.0,150.9375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
735,801243702,0.004734202,-0.0021380268,9.162972E-4,0.100199446,-9.767203,0.16510476,4.2625003,8.0,150.8625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
745,801243712,0.0044287695,-0.0013744457,0.0019853106,0.11964113,-9.765707,0.16241284,4.25,8.0,150.8,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
755,801243722,0.0042760535,-0.0018325944,0.0015271619,0.10378868,-9.764511,0.17198412,4.2375,8.025001,150.725,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
764,801243731,0.0050396346,-0.0016798781,0.0013744457,0.111266255,-9.772287,0.15672988,4.225,8.0375,150.6875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
774,801243741,0.0050396346,-0.0021380268,0.0013744457,0.11694921,-9.768699,0.16630118,4.1875,8.0375,150.675,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
784,801243751,0.0050396346,-0.0019853106,4.581486E-4,0.10707881,-9.760024,0.1585245,4.175,8.075,150.675,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
794,801243761,0.0044287695,-0.0019853106,0.0016798781,0.111864455,-9.756435,0.15463616,4.2000003,8.087501,150.7,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
804,801243771,0.0048869182,-0.0015271619,0.0016798781,0.10468599,-9.757033,0.15882361,4.3,8.1375,150.875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
814,801243781,0.0050396346,-0.0021380268,9.162972E-4,0.104985096,-9.761819,0.17048861,4.35,8.1625,150.975,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
824,801243791,0.0050396346,-0.0015271619,0.0025961753,0.09451649,-9.768699,0.17288144,4.375,8.175,151.0375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
834,801243801,0.0051923506,-0.0021380268,0.0024434591,0.10199407,-9.762118,0.17587246,4.375,8.1875,151.05,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
844,801243811,0.005345067,-0.0018325944,9.162972E-4,0.111864455,-9.763913,0.16061822,4.375,8.212501,151.0625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
854,801243821,0.004581486,-0.0024434591,0.0021380268,0.111266255,-9.772287,0.15702899,4.375,8.212501,151.0375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
864,801243831,0.005345067,-0.0021380268,0.0012217296,0.10229317,-9.756435,0.1692922,4.375,8.212501,150.9875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
874,801243841,0.004734202,-0.0021380268,0.0021380268,0.09930214,-9.766604,0.15972091,4.3625,8.175,150.96251,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
