gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801244121,3,1741275717948710739,3.054324E-4,4.581486E-4,0.0
801244131,3,1741275717958694697,9.162972E-4,0.0012217296,-0.0010690134
801244141,3,1741275717968679020,-4.581486E-4,3.054324E-4,0.0010690134
801244151,3,1741275717978663499,-3.054324E-4,7.6358096E-4,-0.0
801244161,3,1741275717988647458,1.527162E-4,4.581486E-4,3.054324E-4
801244171,3,1741275717998631416,-6.108648E-4,1.527162E-4,3.054324E-4
801244181,3,1741275718008615739,-1.527162E-4,7.6358096E-4,1.527162E-4
801244191,3,1741275718018600218,-1.527162E-4,4.581486E-4,-3.054324E-4
801244201,3,1741275718028584176,-0.0,4.581486E-4,3.054324E-4
801244211,3,1741275718038568499,3.054324E-4,3.054324E-4,3.054324E-4
801244221,3,1741275718048552978,3.054324E-4,-0.0,-6.108648E-4
801244231,3,1741275718058536937,-7.6358096E-4,3.054324E-4,9.162972E-4
801244241,3,1741275718068521260,3.054324E-4,-3.054324E-4,7.6358096E-4
801244251,3,1741275718078505739,-3.054324E-4,7.6358096E-4,1.527162E-4
801244261,3,1741275718088489697,3.054324E-4,0.0010690134,-0.0
801244271,3,1741275718098473655,0.0,-3.054324E-4,6.108648E-4
801244281,3,1741275718108457978,-6.108648E-4,6.108648E-4,-6.108648E-4
801244291,3,1741275718118442458,3.054324E-4,6.108648E-4,-0.0
801244301,3,1741275718128426416,1.527162E-4,1.527162E-4,9.162972E-4
801244311,3,1741275718138410739,1.527162E-4,3.054324E-4,1.527162E-4
801244321,3,1741275718148395218,-7.6358096E-4,9.162972E-4,4.581486E-4
801244331,3,1741275718158379176,-0.0010690134,0.0012217296,3.054324E-4
801244341,3,1741275718168363499,-1.527162E-4,-0.0,-4.581486E-4
801244351,3,1741275718178347978,-1.527162E-4,9.162972E-4,-1.527162E-4
801244361,3,1741275718188331937,-1.527162E-4,1.527162E-4,-1.527162E-4
801244370,3,1741275718198316260,-6.108648E-4,-1.527162E-4,0.0
801244380,3,1741275718208300739,-3.054324E-4,0.0015271619,6.108648E-4
801244390,3,1741275718218284333,-0.0010690134,1.527162E-4,-6.108648E-4
801244400,3,1741275718228268343,1.527162E-4,4.581486E-4,1.527162E-4
801244410,3,1741275718238253343,-3.054324E-4,3.054324E-4,3.054324E-4
801244420,3,1741275718248237301,-9.162972E-4,4.581486E-4,-4.581486E-4
801244430,3,1741275718258221260,-4.581486E-4,9.162972E-4,3.054324E-4
801244440,3,1741275718268205583,3.054324E-4,4.581486E-4,1.527162E-4
801244450,3,1741275718278190062,1.527162E-4,0.0015271619,4.581486E-4
801244460,3,1741275718288174020,-3.054324E-4,0.0010690134,1.527162E-4
801244470,3,1741275718298158343,-0.0,6.108648E-4,1.527162E-4
801244480,3,1741275718308142822,-3.054324E-4,0.0010690134,-1.527162E-4
801244490,3,1741275718318126780,-7.6358096E-4,0.0,4.581486E-4
801244500,3,1741275718328111103,-1.527162E-4,7.6358096E-4,3.054324E-4
801244510,3,1741275718338095583,-0.0,-1.527162E-4,3.054324E-4
801244520,3,1741275718348079541,-7.6358096E-4,7.6358096E-4,4.581486E-4
801244530,3,1741275718358063864,-4.581486E-4,9.162972E-4,3.054324E-4
801244540,3,1741275718368048343,-0.0015271619,4.581486E-4,-4.581486E-4
801244550,3,1741275718378032301,4.581486E-4,3.054324E-4,9.162972E-4
801244560,3,1741275718388016260,1.527162E-4,9.162972E-4,-1.527162E-4
801244570,3,1741275718398000583,-9.162972E-4,4.581486E-4,-1.527162E-4
801244580,3,1741275718407985062,-3.054324E-4,0.0,3.054324E-4
801244590,3,1741275718417969020,1.527162E-4,9.162972E-4,-7.6358096E-4
801244600,3,1741275718427953343,-1.527162E-4,-1.527162E-4,3.054324E-4
801244610,3,1741275718437937822,3.054324E-4,6.108648E-4,-1.527162E-4
801244620,3,1741275718447921780,-4.581486E-4,3.054324E-4,4.581486E-4
801244630,3,1741275718457906103,-4.581486E-4,1.527162E-4,4.581486E-4
801244640,3,1741275718467890583,1.527162E-4,0.0,0.0
801244650,3,1741275718477874541,-7.6358096E-4,3.054324E-4,-3.054324E-4
801244660,3,1741275718487858499,0.0,-3.054324E-4,-4.581486E-4
801244670,3,1741275718497842822,-6.108648E-4,7.6358096E-4,-3.054324E-4
801244680,3,1741275718507827301,-4.581486E-4,6.108648E-4,9.162972E-4
801244690,3,1741275718517810895,4.581486E-4,-0.0,-9.162972E-4
801244700,3,1741275718527794749,-9.162972E-4,0.0012217296,4.581486E-4
801244710,3,1741275718537779749,-1.527162E-4,7.6358096E-4,-1.527162E-4
801244720,3,1741275718547764072,4.581486E-4,1.527162E-4,-1.527162E-4
801244730,3,1741275718557748551,-1.527162E-4,-1.527162E-4,-1.527162E-4
801244740,3,1741275718567732510,7.6358096E-4,3.054324E-4,-0.0
801244750,3,1741275718577716833,1.527162E-4,1.527162E-4,-4.581486E-4
801244760,3,1741275718587701312,-0.0010690134,1.527162E-4,-3.054324E-4
801244770,3,1741275718597685270,-4.581486E-4,3.054324E-4,-3.054324E-4
801244780,3,1741275718607669228,6.108648E-4,7.6358096E-4,1.527162E-4
801244790,3,1741275718617653551,3.054324E-4,7.6358096E-4,0.0
801244800,3,1741275718627638030,-1.527162E-4,9.162972E-4,3.054324E-4
801244810,3,1741275718637621989,-4.581486E-4,3.054324E-4,-1.527162E-4
801244820,3,1741275718647606312,3.054324E-4,7.6358096E-4,3.054324E-4
801244830,3,1741275718657590791,-6.108648E-4,6.108648E-4,-1.527162E-4
801244840,3,1741275718667574749,1.527162E-4,6.108648E-4,-1.527162E-4
801244850,3,1741275718677559072,-6.108648E-4,0.0015271619,-4.581486E-4
801244860,3,1741275718687543551,1.527162E-4,9.162972E-4,4.581486E-4
801244870,3,1741275718697527510,-0.0010690134,-3.054324E-4,3.054324E-4
801244880,3,1741275718707511833,0.0,6.108648E-4,3.054324E-4
801244890,3,1741275718717496312,1.527162E-4,-4.581486E-4,3.054324E-4
801244900,3,1741275718727480270,-0.0,9.162972E-4,1.527162E-4
801244910,3,1741275718737464228,0.0,6.108648E-4,3.054324E-4
801244920,3,1741275718747448551,1.527162E-4,-6.108648E-4,0.0
801244930,3,1741275718757433030,-4.581486E-4,4.581486E-4,6.108648E-4
801244940,3,1741275718767416989,-1.527162E-4,6.108648E-4,3.054324E-4
801244950,3,1741275718777401312,1.527162E-4,3.054324E-4,7.6358096E-4
801244960,3,1741275718787385791,-4.581486E-4,7.6358096E-4,-1.527162E-4
801244970,3,1741275718797369749,-0.0,4.581486E-4,1.527162E-4
801244980,3,1741275718807354072,0.0,4.581486E-4,4.581486E-4
801244990,3,1741275718817338187,0.0,1.527162E-4,3.054324E-4
801244999,3,1741275718827321885,3.054324E-4,1.527162E-4,9.162972E-4
801245009,3,1741275718837306885,-0.0012217296,0.0015271619,-1.527162E-4
801245019,3,1741275718847290843,-6.108648E-4,-4.581486E-4,4.581486E-4
801245029,3,1741275718857275166,-3.054324E-4,-3.054324E-4,-1.527162E-4
801245039,3,1741275718867259645,-1.527162E-4,0.0013744457,-1.527162E-4
801245049,3,1741275718877243239,-0.0,-1.527162E-4,3.054324E-4
801245059,3,1741275718887227249,-3.054324E-4,9.162972E-4,1.527162E-4
801245069,3,1741275718897212249,-1.527162E-4,4.581486E-4,3.054324E-4
801245079,3,1741275718907196208,-7.6358096E-4,4.581486E-4,-7.6358096E-4
801245089,3,1741275718917179801,-1.527162E-4,-1.527162E-4,3.054324E-4
801245099,3,1741275718927163916,-0.0,-3.054324E-4,1.527162E-4
801245109,3,1741275718937149437,0.0,4.581486E-4,-0.0
801245119,3,1741275718947133395,-6.108648E-4,0.0,-4.581486E-4
801245129,3,1741275718957117353,-6.108648E-4,7.6358096E-4,6.108648E-4
801245139,3,1741275718967101676,7.6358096E-4,-1.527162E-4,-7.6358096E-4
801245149,3,1741275718977086155,4.581486E-4,-1.527162E-4,4.581486E-4
801245159,3,1741275718987070114,-4.581486E-4,9.162972E-4,1.527162E-4
801245169,3,1741275718997054437,1.527162E-4,1.527162E-4,-3.054324E-4
801245179,3,1741275719007038916,1.527162E-4,1.527162E-4,-1.527162E-4
801245189,3,1741275719017022510,6.108648E-4,-4.581486E-4,4.581486E-4
801245199,3,1741275719027006520,-0.0,1.527162E-4,-3.054324E-4
801245209,3,1741275719036991520,-1.527162E-4,-0.0,4.581486E-4
801245219,3,1741275719046975478,-4.581486E-4,3.054324E-4,3.054324E-4
801245229,3,1741275719056959801,3.054324E-4,3.054324E-4,6.108648E-4
801245239,3,1741275719066944280,-7.6358096E-4,-1.527162E-4,3.054324E-4
801245249,3,1741275719076927874,-6.108648E-4,9.162972E-4,-0.0
801245259,3,1741275719086911885,-4.581486E-4,6.108648E-4,1.527162E-4
