mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801244123,3,4.425,8.35,150.55,-27.0,-59.0,178.0
801244132,3,4.4500003,8.35,150.5375,-27.0,-59.0,178.0
801244142,3,4.4625,8.325,150.55,-27.0,-59.0,178.0
801244151,3,4.4500003,8.275001,150.575,-27.0,-59.0,178.0
801244161,3,4.4625,8.2375,150.625,-27.0,-59.0,178.0
801244170,3,4.475,8.225,150.7,-27.0,-59.0,178.0
801244180,3,4.4875,8.212501,150.7625,-27.0,-59.0,178.0
801244189,3,4.475,8.1875,150.7875,-27.0,-59.0,178.0
801244199,3,4.5,8.175,150.8,-27.0,-59.0,178.0
801244208,3,4.5,8.1875,150.8,-27.0,-59.0,178.0
801244218,3,4.475,8.1875,150.83751,-27.0,-59.0,178.0
801244227,3,4.4625,8.225,150.8875,-27.0,-59.0,178.0
801244237,3,4.425,8.25,150.9375,-27.0,-59.0,178.0
801244246,3,4.4,8.2625,150.975,-27.0,-59.0,178.0
801244256,3,4.3625,8.25,151.05,-27.0,-59.0,178.0
801244265,3,4.3625,8.2375,151.15001,-27.0,-59.0,178.0
801244275,3,4.3375,8.2375,151.2375,-27.0,-59.0,178.0
801244284,3,4.3250003,8.225,151.325,-27.0,-59.0,178.0
801244294,3,4.3375,8.2375,151.35,-27.0,-59.0,178.0
801244303,3,4.35,8.2375,151.33751,-27.0,-59.0,178.0
801244313,3,4.4,8.212501,151.2875,-27.0,-59.0,178.0
801244322,3,4.4500003,8.175,151.225,-27.0,-59.0,178.0
801244332,3,4.5,8.1625,151.1375,-27.0,-59.0,178.0
801244341,3,4.525,8.175,151.0125,-27.0,-59.0,178.0
801244351,3,4.55,8.1625,150.8625,-27.0,-59.0,178.0
801244360,3,4.5750003,8.150001,150.7625,-27.0,-59.0,178.0
801244370,3,4.5750003,8.1125,150.675,-27.0,-59.0,178.0
801244379,3,4.5750003,8.087501,150.625,-27.0,-59.0,178.0
801244389,3,4.55,8.087501,150.6125,-27.0,-59.0,178.0
801244398,3,4.525,8.1125,150.6375,-27.0,-59.0,178.0
801244408,3,4.5,8.1375,150.65001,-27.0,-59.0,178.0
