Rotation Vector  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801244278,3,-0.29746774,-0.63505435,0.64235675,0.30918714,-1.0
801244288,3,-0.29746893,-0.6350519,0.6423555,0.3091937,-1.0
801244298,3,-0.2974698,-0.6350502,0.64235294,0.30920175,-1.0
801244308,3,-0.29747537,-0.6350387,0.6423538,0.3092182,-1.0
801244318,3,-0.29747555,-0.6350383,0.6423545,0.30921733,-1.0
801244328,3,-0.2974733,-0.6350429,0.6423541,0.3092109,-1.0
801244338,3,-0.29747328,-0.635043,0.6423468,0.30922577,-1.0
801244348,3,-0.29747137,-0.635047,0.6423422,0.30922896,-1.0
801244358,3,-0.29747462,-0.6350402,0.6423477,0.3092283,-1.0
801244368,3,-0.2974754,-0.6350387,0.642343,0.30924055,-1.0
801244378,3,-0.29747516,-0.6350392,0.64234227,0.30924127,-1.0
801244388,3,-0.2974752,-0.6350392,0.64233905,0.30924797,-1.0
801244398,3,-0.29747885,-0.63503164,0.6423324,0.30927375,-1.0
801244408,3,-0.29748023,-0.63502884,0.6423301,0.30928287,-1.0
801244418,3,-0.29747242,-0.635045,0.6423256,0.30926666,-1.0
801244428,3,-0.29746634,-0.6350575,0.6423266,0.30924463,-1.0
801244438,3,-0.29747137,-0.6350471,0.642331,0.30925202,-1.0
801244448,3,-0.29747325,-0.63504326,0.64232826,0.30926394,-1.0
801244458,3,-0.29747552,-0.6350386,0.6423276,0.30927265,-1.0
801244468,3,-0.29747713,-0.6350353,0.6423293,0.3092744,-1.0
801244478,3,-0.29747978,-0.63502973,0.6423324,0.3092768,-1.0
801244488,3,-0.29747853,-0.63503236,0.6423339,0.30926937,-1.0
801244498,3,-0.29748115,-0.635027,0.642331,0.30928403,-1.0
801244508,3,-0.29748365,-0.6350218,0.6423347,0.3092845,-1.0
801244518,3,-0.29748523,-0.6350185,0.6423364,0.30928618,-1.0
801244528,3,-0.2974862,-0.63501656,0.64233756,0.30928692,-1.0
801244538,3,-0.29748297,-0.6350232,0.64233494,0.3092819,-1.0
801244548,3,-0.29748833,-0.63501215,0.6423347,0.30929983,-1.0
801244558,3,-0.29749247,-0.6350036,0.6423374,0.3093078,-1.0
801244568,3,-0.2974895,-0.63500977,0.642332,0.3093092,-1.0
801244578,3,-0.29749584,-0.63499665,0.6423349,0.3093241,-1.0
801244588,3,-0.29749158,-0.6350055,0.6423312,0.30931774,-1.0
801244598,3,-0.2974927,-0.63500315,0.6423347,0.30931422,-1.0
801244608,3,-0.29749596,-0.6349965,0.6423249,0.30934495,-1.0
801244618,3,-0.2974946,-0.63499933,0.64232737,0.3093354,-1.0
801244628,3,-0.29749316,-0.63500226,0.6423294,0.30932647,-1.0
801244638,3,-0.29749304,-0.6350025,0.6423278,0.3093295,-1.0
801244648,3,-0.29749298,-0.6350026,0.6423321,0.30932036,-1.0
801244658,3,-0.2974917,-0.63500524,0.6423328,0.30931473,-1.0
801244668,3,-0.29749066,-0.6350074,0.6423338,0.3093093,-1.0
801244678,3,-0.29748923,-0.6350103,0.64233625,0.30929953,-1.0
801244688,3,-0.2974854,-0.6350181,0.6423359,0.30928788,-1.0
801244698,3,-0.29748812,-0.63501257,0.6423379,0.3092925,-1.0
801244708,3,-0.29749164,-0.6350053,0.64233625,0.30930746,-1.0
801244718,3,-0.2974916,-0.6350055,0.64233106,0.30931804,-1.0
801244728,3,-0.29749498,-0.6349985,0.6423324,0.30932635,-1.0
801244738,3,-0.29749775,-0.6349927,0.6423352,0.30932963,-1.0
801244748,3,-0.29749557,-0.63499725,0.64233434,0.30932415,-1.0
801244758,3,-0.2974979,-0.6349924,0.64233613,0.30932814,-1.0
801244768,3,-0.29749352,-0.6350014,0.64233357,0.30931917,-1.0
801244777,3,-0.2974974,-0.6349935,0.64233106,0.3093369,-1.0
