gravity  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801244688,3,0.104300536,-9.804759,0.161896
801244698,3,0.10427859,-9.804757,0.16200326
801244708,3,0.10438616,-9.804753,0.16214266
801244718,3,0.10454967,-9.804752,0.1621397
801244728,3,0.10456041,-9.8047495,0.16227409
801244738,3,0.10451556,-9.804749,0.16238442
801244748,3,0.10450679,-9.80475,0.16229765
801244758,3,0.10448714,-9.804749,0.162391
801244768,3,0.10450062,-9.804751,0.16221689
801244777,3,0.10463887,-9.804748,0.16236979
801244787,3,0.10460737,-9.804747,0.16243084
801244797,3,0.10477843,-9.804743,0.16256596
801244807,3,0.10474191,-9.804743,0.16257675
801244817,3,0.10491881,-9.804743,0.16248366
801244827,3,0.10487745,-9.804747,0.16228746
801244837,3,0.10490854,-9.804747,0.16225527
801244847,3,0.104858376,-9.804746,0.16233902
801244857,3,0.105011046,-9.804746,0.1622492
801244867,3,0.104898594,-9.804747,0.1622409
801244877,3,0.10483217,-9.804751,0.16200116
801244887,3,0.10488552,-9.804751,0.16199405
801244897,3,0.1048553,-9.8047495,0.1620869
801244907,3,0.10471392,-9.804752,0.16206467
801244917,3,0.104685195,-9.804752,0.1620189
801244927,3,0.1047052,-9.804751,0.16206504
801244937,3,0.104699336,-9.804751,0.16209434
801244947,3,0.10486827,-9.804746,0.16233213
801244957,3,0.104935035,-9.804749,0.16217579
801244967,3,0.10510324,-9.804745,0.16222611
801244977,3,0.10531371,-9.804744,0.16214494
801244987,3,0.10499734,-9.804748,0.16212775
801244997,3,0.10501637,-9.804748,0.16211839
801245007,3,0.104900114,-9.8047495,0.16204393
801245017,3,0.104919724,-9.804751,0.16198914
801245027,3,0.104947545,-9.804751,0.16196527
801245037,3,0.10502522,-9.804751,0.1618881
801245047,3,0.105088376,-9.804751,0.16185388
801245057,3,0.10499176,-9.804756,0.16161275
801245067,3,0.105064385,-9.804754,0.16168274
801245077,3,0.105032265,-9.804755,0.16159654
801245087,3,0.10497668,-9.804755,0.16164806
801245097,3,0.10496973,-9.804756,0.16165741
801245107,3,0.10535228,-9.804752,0.16159864
801245117,3,0.10528682,-9.804754,0.1615254
801245127,3,0.10530219,-9.804757,0.1613679
801245137,3,0.1054101,-9.804753,0.16149244
801245147,3,0.10524289,-9.804754,0.16154929
801245157,3,0.105222374,-9.804754,0.16159642
801245167,3,0.10525508,-9.804756,0.16145287
801245177,3,0.10527642,-9.804758,0.16131203
801245187,3,0.105295695,-9.804755,0.16149123
801245197,3,0.10522567,-9.804757,0.16142663
801245207,3,0.10537508,-9.804756,0.16137914
801245217,3,0.10529515,-9.804756,0.1614334
801245227,3,0.10532174,-9.804754,0.16150397
801245237,3,0.10505586,-9.804757,0.16151008
801245247,3,0.105016254,-9.80476,0.16139086
801245257,3,0.105168074,-9.80476,0.16124444
801245267,3,0.10520042,-9.804759,0.16132358
801245277,3,0.10518804,-9.804761,0.16125633
801245287,3,0.10522538,-9.804761,0.16120854
801245297,3,0.10530809,-9.804763,0.16100521
801245307,3,0.10530086,-9.804762,0.16104797
801245317,3,0.10544823,-9.804762,0.16097155
801245327,3,0.105579175,-9.804761,0.16091192
801245337,3,0.10570445,-9.80476,0.16090402
801245347,3,0.105829366,-9.804759,0.16092098
801245357,3,0.105855934,-9.804762,0.16077337
801245367,3,0.1057315,-9.804764,0.16061305
801245377,3,0.10559635,-9.804767,0.1605765
801245387,3,0.10566729,-9.804764,0.16070394
801245397,3,0.10574822,-9.804766,0.1605404
801245406,3,0.10566564,-9.804768,0.16047351
801245416,3,0.105554596,-9.8047695,0.1604332
801245426,3,0.105607934,-9.804767,0.16056119
801245436,3,0.10568278,-9.804767,0.16050431
801245446,3,0.10596163,-9.804765,0.1604402
801245456,3,0.106167234,-9.804765,0.1604058
801245466,3,0.105996564,-9.804767,0.1602947
801245476,3,0.105939366,-9.804771,0.16008355
801245486,3,0.10600238,-9.804774,0.15989691
801245496,3,0.10607169,-9.804773,0.15983915
801245506,3,0.10604552,-9.804774,0.15980157
801245516,3,0.10578187,-9.804777,0.15980603
801245526,3,0.10592862,-9.804778,0.15968339
801245536,3,0.10587239,-9.80478,0.1595533
801245546,3,0.10593661,-9.804781,0.15942508
801245556,3,0.10587268,-9.804782,0.15946636
801245566,3,0.10585407,-9.804785,0.15929614
801245576,3,0.10600495,-9.804782,0.15935043
801245586,3,0.10610136,-9.804783,0.1593182
801245596,3,0.10597775,-9.804786,0.15922719
801245606,3,0.10596674,-9.804786,0.15917727
801245616,3,0.106089175,-9.804784,0.15913923
801245626,3,0.10608587,-9.804787,0.15899387
801245636,3,0.10595528,-9.80479,0.15890414
801245646,3,0.10586488,-9.80479,0.1589994
801245656,3,0.10562173,-9.804793,0.15888402
801245666,3,0.10549425,-9.804797,0.15881652
801245676,3,0.1054071,-9.804798,0.15870738
801245686,3,0.10551624,-9.804799,0.15866345
801245696,3,0.1054961,-9.804803,0.15847513
801245706,3,0.10548837,-9.804804,0.1583693
801245716,3,0.10536035,-9.804808,0.15819262
801245726,3,0.105283596,-9.8048115,0.15808472
801245736,3,0.10532784,-9.8048115,0.15798256
801245746,3,0.1053759,-9.8048115,0.15799135
801245756,3,0.10519105,-9.804813,0.15795246
801245766,3,0.10515218,-9.804815,0.15790889
801245776,3,0.105061434,-9.804816,0.1578423
801245786,3,0.10518123,-9.804812,0.15801938
801245796,3,0.10516132,-9.804812,0.15804316
801245806,3,0.10515594,-9.804812,0.15810329
801245816,3,0.10490004,-9.804816,0.15802008
801245826,3,0.105077766,-9.804816,0.15787736
801245836,3,0.1050537,-9.80482,0.15767713
801245846,3,0.10484425,-9.804823,0.15765479
801245856,3,0.10476766,-9.804824,0.15767595
801245866,3,0.104878046,-9.804822,0.15760657
801245876,3,0.10487148,-9.804827,0.15738821
801245886,3,0.104732506,-9.804829,0.15738243
801245896,3,0.104733266,-9.804831,0.15724482
801245906,3,0.104673214,-9.804828,0.15737414
801245916,3,0.10458053,-9.804834,0.15714473
801245927,3,0.10467159,-9.8048315,0.15715732
801245937,3,0.10448686,-9.8048315,0.1573068
801245947,3,0.104608804,-9.80483,0.15737946
801245957,3,0.104534775,-9.804832,0.15718615
801245967,3,0.104510695,-9.804834,0.15716264
801245977,3,0.104606286,-9.804834,0.15704018
801245987,3,0.104785815,-9.804833,0.1570175
801245997,3,0.104790285,-9.804832,0.1570655
801246007,3,0.10489598,-9.804831,0.15708487
801246017,3,0.1049331,-9.804828,0.15721329
801246027,3,0.104846105,-9.8048315,0.15707606
801246037,3,0.104777336,-9.804833,0.15700017
801246047,3,0.10479235,-9.804835,0.15692542
801246057,3,0.104709774,-9.804838,0.15676968
801246067,3,0.104763284,-9.804841,0.15654802
801246077,3,0.104914814,-9.80484,0.15649939
801246087,3,0.10488208,-9.80484,0.15651815
801246097,3,0.104955584,-9.804838,0.15659422
801246107,3,0.10490182,-9.804839,0.1565942
801246117,3,0.10477084,-9.804841,0.15656155
801246127,3,0.10462518,-9.804845,0.15644212
801246137,3,0.10435517,-9.80485,0.15625143
801246147,3,0.1041358,-9.804854,0.15618464
801246156,3,0.10400601,-9.804854,0.156164
801246166,3,0.10423126,-9.804852,0.15624958
801246176,3,0.10412443,-9.804857,0.15600517
801246186,3,0.10410269,-9.804857,0.15593097
801246196,3,0.10428315,-9.804856,0.15584937
801246206,3,0.10422263,-9.804858,0.1558117
801246216,3,0.10413076,-9.804857,0.15592146
801246226,3,0.104091346,-9.804858,0.15596679
801246236,3,0.10425853,-9.804855,0.15602103
801246246,3,0.10424218,-9.804858,0.1558219
801246256,3,0.10415113,-9.804863,0.15564622
801246266,3,0.10412433,-9.804865,0.15551381
801246276,3,0.103928275,-9.804865,0.15564495
801246286,3,0.10390116,-9.804869,0.15538539
801246296,3,0.10369625,-9.804873,0.15524918
801246306,3,0.10360923,-9.804873,0.15521967
801246316,3,0.10360216,-9.804872,0.15535785
801246326,3,0.10374155,-9.8048725,0.15522234
801246336,3,0.103750594,-9.804876,0.15500283
801246346,3,0.103764795,-9.804876,0.1549397
801246356,3,0.103890054,-9.804873,0.1550413
801246366,3,0.10375485,-9.804875,0.15497957
801246376,3,0.10371873,-9.804878,0.1549435
801246386,3,0.10347685,-9.804881,0.15490118
801246396,3,0.10340988,-9.804883,0.15483348
801246406,3,0.103245854,-9.804887,0.1547055
801246416,3,0.10308244,-9.804892,0.15442373
801246426,3,0.10315483,-9.804892,0.15440255
801246436,3,0.103134096,-9.804891,0.15450379
801246446,3,0.103249624,-9.804892,0.15439604
801246456,3,0.10323066,-9.804891,0.15441427
801246466,3,0.10332361,-9.80489,0.1544034
801246476,3,0.10330184,-9.804893,0.15431926
801246486,3,0.103201136,-9.804894,0.15418012
801246496,3,0.10326042,-9.804895,0.15416697
801246506,3,0.10331227,-9.804897,0.15397833
801246516,3,0.10321609,-9.804898,0.15398748
801246526,3,0.10319309,-9.804896,0.15404843
801246536,3,0.103290506,-9.804898,0.15397175
