gyro_s003_002 QTI-Gyroscope-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_uncal_x[rad/s],ang_vel2_uncal_y[rad/s],ang_vel2_uncal_z[rad/s],ang_vel2_drift_x[rad/s],ang_vel2_drift_y[rad/s],ang_vel2_drift_z[rad/s]
801243649,3,1741275717476894124,-0.004857597,-1.0652933E-4,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243659,3,1741275717486702666,-0.004857597,-0.0022370564,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243669,3,1741275717496514958,-0.004857597,-0.0011717929,0.00374973,-0.003949999,-9.715243E-4,0.002087918
801243679,3,1741275717506330791,-0.004857597,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243688,3,1741275717516136208,-0.0059228605,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243693,3,1741275717520870687,-0.0059228605,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243703,3,1741275717530698603,-0.0037923334,-1.0652933E-4,0.00374973,-0.003949999,-9.715243E-4,0.002087918
801243713,3,1741275717540548499,-0.0037923334,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243723,3,1741275717550419437,-0.0037923334,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243732,3,1741275717560315322,-0.0037923334,-1.0652933E-4,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243742,3,1741275717570236312,-0.004857597,-1.0652933E-4,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243752,3,1741275717580182718,-0.0037923334,-1.0652933E-4,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243762,3,1741275717590154437,-0.004857597,-0.0011717929,0.00374973,-0.003949999,-9.715243E-4,0.002087918
801243772,3,1741275717600151520,-0.0037923334,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243782,3,1741275717610149541,-0.004857597,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243792,3,1741275717620147562,-0.0037923334,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243802,3,1741275717630167510,-0.0037923334,-1.0652933E-4,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243812,3,1741275717640208968,-0.004857597,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243822,3,1741275717650272510,-0.004857597,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243833,3,1741275717660358030,-0.0037923334,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243843,3,1741275717670465062,-0.0037923334,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243853,3,1741275717680593187,-0.0037923334,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243863,3,1741275717690740947,-0.004857597,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243873,3,1741275717700908916,-0.0037923334,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243883,3,1741275717710714333,-0.00272707,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243893,3,1741275717720487145,-0.00272707,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243902,3,1741275717730314541,-0.004857597,-0.0011717929,0.0026844665,-0.003949999,-9.715243E-4,0.002087918
801243912,3,1741275717740167249,-0.004857597,-1.0652933E-4,0.001619203,-0.003949999,-9.715243E-4,0.002087918
801243922,3,1741275717750046103,-0.0037923334,-0.0011717929,0.001619203,-0.003949999,-9.715243E-4,0.002087918
