gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
801243310,3,1741275717138226572,0.003817905,-0.004734202,0.0036651888,0.0053031044,-0.0022775796,0.0014542363
801243320,3,1741275717148211208,0.004581486,-0.002290743,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801243330,3,1741275717158195166,0.0048869182,-0.0016798781,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801243340,3,1741275717168179333,0.0050396346,-0.0021380268,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801243350,3,1741275717178163968,0.005497783,-0.0018325944,0.0019853106,0.0053031044,-0.0022775796,0.0014542363
801243360,3,1741275717188147926,0.004581486,-0.002290743,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801243370,3,1741275717198131885,0.005497783,-0.0012217296,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801243380,3,1741275717208115635,0.0051923506,-0.0013744457,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801243390,3,1741275717218098708,0.005497783,-0.0012217296,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801243400,3,1741275717228093603,0.0056504994,-0.0019853106,7.6358096E-4,0.0053031044,-0.0022775796,0.0014542363
801243410,3,1741275717238275895,0.005345067,-0.0024434591,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801243421,3,1741275717248458447,0.004123337,-0.0013744457,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801243431,3,1741275717258595270,0.0051923506,-0.0024434591,0.0024434591,0.0053031044,-0.0022775796,0.0014542363
801243441,3,1741275717268608864,0.004734202,-0.0019853106,0.0025961753,0.0053031044,-0.0022775796,0.0014542363
801243451,3,1741275717278593447,0.0058032153,-0.0018325944,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801243461,3,1741275717288577405,0.005345067,-0.0012217296,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801243471,3,1741275717298561364,0.0058032153,-9.162972E-4,9.162972E-4,0.0053031044,-0.0022775796,0.0014542363
801243481,3,1741275717308545062,0.004734202,-0.002290743,0.0021380268,0.0053031044,-0.0022775796,0.0014542363
801243491,3,1741275717318528135,0.005497783,-0.0021380268,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
