acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
801244614,3,1741275718441571572,0.09900304,-9.76152,0.16480567
801244624,3,1741275718451555530,0.10348958,-9.763913,0.1576272
801244634,3,1741275718461540166,0.09810573,-9.75823,0.16211374
801244644,3,1741275718471524333,0.10229317,-9.778569,0.15732808
801244654,3,1741275718481508291,0.097806625,-9.747462,0.1689931
801244664,3,1741275718491492249,0.10229317,-9.765109,0.15672988
801244674,3,1741275718501476885,0.09302098,-9.766604,0.15523437
801244684,3,1741275718511461051,0.104985096,-9.768399,0.16211374
801244694,3,1741275718521444333,0.110368945,-9.767502,0.16719848
801244704,3,1741275718531429124,0.111266255,-9.7681,0.16959131
801244714,3,1741275718541413499,0.1052842,-9.763913,0.16002001
801244724,3,1741275718551398135,0.10229317,-9.763314,0.16959131
801244734,3,1741275718561382301,0.10289137,-9.7704935,0.16061822
801244744,3,1741275718571366260,0.09990034,-9.768399,0.16689938
801244754,3,1741275718581350895,0.10109676,-9.777672,0.16211374
801244764,3,1741275718591335062,0.11335997,-9.763314,0.15882361
801244773,3,1741275718601319020,0.10199407,-9.767203,0.16869399
801244783,3,1741275718611302978,0.10707881,-9.757033,0.15882361
801244793,3,1741275718621287614,0.111864455,-9.7704935,0.16510476
801244803,3,1741275718631271780,0.11156536,-9.756435,0.16630118
801244813,3,1741275718641255739,0.10977074,-9.768699,0.15284155
801244823,3,1741275718651240374,0.10199407,-9.761819,0.16301104
801244833,3,1741275718661224541,0.103190474,-9.775279,0.16151553
801244843,3,1741275718671208499,0.10767702,-9.765109,0.16510476
801244853,3,1741275718681193135,0.10827523,-9.755538,0.16211374
801244863,3,1741275718691177301,0.09720842,-9.7654085,0.15284155
801244873,3,1741275718701161260,0.11096715,-9.767801,0.15314065
801244883,3,1741275718711145895,0.100199446,-9.763314,0.16211374
801244893,3,1741275718721130062,0.10468599,-9.763913,0.16450655
801244903,3,1741275718731114020,0.10229317,-9.771989,0.16211374
801244913,3,1741275718741097978,0.09840483,-9.776176,0.1585245
801244923,3,1741275718751082614,0.11216356,-9.767502,0.16779669
801244933,3,1741275718761066780,0.11306087,-9.762118,0.17318054
801244943,3,1741275718771050739,0.11096715,-9.78485,0.16271193
801244953,3,1741275718781035374,0.115752794,-9.770792,0.15493527
801244963,3,1741275718791019541,0.11335997,-9.761819,0.15643078
801244973,3,1741275718801003499,0.102592275,-9.762118,0.16540386
801244983,3,1741275718810988135,0.09930214,-9.764212,0.16301104
801244993,3,1741275718820971624,0.09661021,-9.762118,0.16002001
801245003,3,1741275718830956260,0.115752794,-9.760024,0.15672988
801245013,3,1741275718840940635,0.10917253,-9.768399,0.1692922
801245023,3,1741275718850924593,0.1055833,-9.7609215,0.15643078
801245033,3,1741275718860909228,0.10289137,-9.766306,0.15254244
801245043,3,1741275718870893395,0.1061815,-9.763016,0.1591227
801245053,3,1741275718880876676,0.1055833,-9.760324,0.15284155
801245063,3,1741275718890861624,0.10468599,-9.758529,0.16390835
801245073,3,1741275718900845999,0.096311115,-9.766604,0.16420746
801245083,3,1741275718910829958,0.10468599,-9.769895,0.16331014
801245093,3,1741275718920813239,0.13070793,-9.769596,0.15672988
801245103,3,1741275718930798603,0.104087785,-9.750752,0.16360925
801245113,3,1741275718940783187,0.097806625,-9.7609215,0.15284155
801245123,3,1741275718950767145,0.10677971,-9.773185,0.16450655
801245133,3,1741275718960751103,0.10827523,-9.753743,0.16420746
801245143,3,1741275718970735739,0.09840483,-9.77797,0.16420746
801245153,3,1741275718980719905,0.10797612,-9.755239,0.15314065
801245163,3,1741275718990703864,0.10348958,-9.760623,0.15104693
801245173,3,1741275719000688499,0.1061815,-9.766006,0.16241284
801245183,3,1741275719010672666,0.109471634,-9.766006,0.16570297
801245193,3,1741275719020655947,0.101694964,-9.765707,0.15643078
801245203,3,1741275719030640895,0.11335997,-9.765109,0.16181463
801245213,3,1741275719040625270,0.10289137,-9.772886,0.16450655
801245223,3,1741275719050609228,0.09840483,-9.767801,0.16749759
801245233,3,1741275719060593864,0.09571291,-9.764212,0.1594218
801245243,3,1741275719070578030,0.10707881,-9.767203,0.15553348
801245253,3,1741275719080561312,0.11485548,-9.764511,0.16420746
801245263,3,1741275719090546260,0.10229317,-9.770194,0.1585245
801245273,3,1741275719100530635,0.119940236,-9.768399,0.15433706
801245283,3,1741275719110514593,0.10677971,-9.7704935,0.1471586
801245293,3,1741275719120497874,0.10767702,-9.7609215,0.16002001
801245303,3,1741275719130483030,0.103190474,-9.773783,0.16869399
801245313,3,1741275719140467614,0.11395818,-9.768399,0.15613168
801245323,3,1741275719150451572,0.11395818,-9.765109,0.16600206
801245333,3,1741275719160436208,0.11934203,-9.7681,0.16061822
801245343,3,1741275719170420374,0.10378868,-9.764811,0.15792629
801245353,3,1741275719180404333,0.11246266,-9.766904,0.16061822
801245363,3,1741275719190388968,0.106480606,-9.773185,0.14566308
801245373,3,1741275719200373135,0.10139586,-9.765707,0.16510476
801245383,3,1741275719210357093,0.111864455,-9.768699,0.16181463
801245393,3,1741275719220340374,0.10767702,-9.7609215,0.15014961
801245402,3,1741275719230325322,0.096311115,-9.779466,0.16031912
801245412,3,1741275719240309697,0.10079765,-9.763614,0.16061822
801245422,3,1741275719250294333,0.1061815,-9.777672,0.16331014
801245432,3,1741275719260278499,0.11335997,-9.7654085,0.16061822
801245442,3,1741275719270262458,0.11964113,-9.765109,0.15613168
801245452,3,1741275719280247093,0.1058824,-9.771091,0.15882361
801245462,3,1741275719290231260,0.101694964,-9.772886,0.16031912
801245472,3,1741275719300215218,0.103190474,-9.766904,0.1471586
801245482,3,1741275719310199853,0.12173485,-9.763016,0.15972091
801245492,3,1741275719320184020,0.09750752,-9.777073,0.15433706
801245502,3,1741275719330167978,0.09571291,-9.780663,0.16869399
801245512,3,1741275719340152614,0.109471634,-9.761221,0.15523437
801245522,3,1741275719350136780,0.110368945,-9.773783,0.15403795
801245532,3,1741275719360120739,0.10049855,-9.759726,0.14596218
801245542,3,1741275719370105374,0.10707881,-9.766306,0.16211374
801245552,3,1741275719380089541,0.10438689,-9.762118,0.14626129
801245562,3,1741275719390073499,0.10737792,-9.773484,0.1683949
801245572,3,1741275719400058135,0.11335997,-9.757631,0.15672988
801245582,3,1741275719410042301,0.10378868,-9.756435,0.15553348
801245592,3,1741275719420025583,0.10707881,-9.766006,0.15553348
801245602,3,1741275719430010530,0.109471634,-9.767801,0.15403795
801245612,3,1741275719439994905,0.10737792,-9.764811,0.15523437
801245622,3,1741275719449978864,0.1055833,-9.763913,0.15672988
801245632,3,1741275719459963499,0.10049855,-9.762118,0.16031912
801245642,3,1741275719469947666,0.09032906,-9.761819,0.15433706
801245652,3,1741275719479931624,0.096909314,-9.7609215,0.14745769
801245662,3,1741275719489916260,0.09900304,-9.766604,0.16390835
801245672,3,1741275719499900426,0.1061815,-9.763614,0.15463616
801245682,3,1741275719509884385,0.104087785,-9.765707,0.15523437
801245692,3,1741275719519867666,0.106480606,-9.774382,0.14745769
801245702,3,1741275719529852614,0.096909314,-9.763614,0.15493527
801245712,3,1741275719539836989,0.093918286,-9.763913,0.15403795
801245722,3,1741275719549821624,0.10378868,-9.757931,0.16002001
801245732,3,1741275719559805791,0.11306087,-9.760623,0.15613168
801245742,3,1741275719569789749,0.093918286,-9.7704935,0.15523437
801245752,3,1741275719579774385,0.1055833,-9.766306,0.16630118
801245762,3,1741275719589757874,0.09840483,-9.7704935,0.15284155
801245772,3,1741275719599742197,0.109471634,-9.763913,0.16061822
801245782,3,1741275719609727041,0.10707881,-9.764811,0.16600206
801245792,3,1741275719619710530,0.111266255,-9.767203,0.15284155
801245802,3,1741275719629564124,0.10677971,-9.774382,0.15613168
801245812,3,1741275719639637614,0.09092726,-9.767203,0.1591227
801245822,3,1741275719649662978,0.104087785,-9.771689,0.14955142
801245832,3,1741275719659647926,0.10438689,-9.7704935,0.14895321
801245842,3,1741275719669631624,0.10468599,-9.758529,0.15044872
801245852,3,1741275719679616572,0.096909314,-9.7704935,0.1585245
801245862,3,1741275719689600270,0.10289137,-9.762118,0.15732808
801245872,3,1741275719699584593,0.10857433,-9.760623,0.14925231
801245882,3,1741275719709569437,0.102592275,-9.77498,0.15523437
801245892,3,1741275719719552926,0.10229317,-9.770194,0.15343975
801245902,3,1741275719729430062,0.09960124,-9.765109,0.16390835
801245912,3,1741275719739518499,0.10348958,-9.762118,0.15194423
801245922,3,1741275719749700791,0.10707881,-9.760623,0.14895321
801245932,3,1741275719759883812,0.09661021,-9.760324,0.16660027
801245942,3,1741275719770034176,0.098703936,-9.775578,0.1680958
801245952,3,1741275719780046260,0.10348958,-9.75165,0.15493527
801245962,3,1741275719790030947,0.1061815,-9.760324,0.148355
801245972,3,1741275719800015062,0.10468599,-9.765109,0.15643078
801245982,3,1741275719809999020,0.11335997,-9.760324,0.15104693
801245992,3,1741275719819982249,0.09840483,-9.753743,0.16420746
801246002,3,1741275719829967405,0.117547415,-9.766904,0.15882361
801246012,3,1741275719839951989,0.111266255,-9.773783,0.15373886
801246022,3,1741275719849935947,0.09990034,-9.75135,0.1582254
801246032,3,1741275719859920635,0.10199407,-9.782457,0.1477568
801246042,3,1741275719869904749,0.10857433,-9.773783,0.15583257
801246052,3,1741275719879888708,0.10109676,-9.773484,0.14985052
801246062,3,1741275719889873395,0.1052842,-9.766604,0.14476576
801246072,3,1741275719899857510,0.10737792,-9.765707,0.15044872
801246082,3,1741275719909841468,0.10977074,-9.767801,0.16121642
801246092,3,1741275719919826155,0.10378868,-9.763314,0.1582254
801246102,3,1741275719929810270,0.104087785,-9.771689,0.16241284
801246112,3,1741275719939794228,0.091525465,-9.769895,0.15702899
801246122,3,1741275719949778916,0.110368945,-9.756734,0.15433706
801246132,3,1741275719959763030,0.08793623,-9.763614,0.1480559
801246142,3,1741275719969746989,0.09272188,-9.7609215,0.15613168
801246152,3,1741275719979731676,0.089132644,-9.754641,0.15224335
801246162,3,1741275719989715791,0.11425728,-9.753445,0.1591227
801246172,3,1741275719999699749,0.100199446,-9.770194,0.16061822
801246182,3,1741275720009684437,0.10229317,-9.764511,0.1477568
801246192,3,1741275720019667822,0.1061815,-9.758828,0.14985052
801246202,3,1741275720029652770,0.11335997,-9.772587,0.16002001
801246212,3,1741275720039637041,0.10049855,-9.766604,0.15373886
801246222,3,1741275720049620999,0.09960124,-9.759726,0.16420746
801246232,3,1741275720059605687,0.111864455,-9.76152,0.15194423
801246242,3,1741275720069589801,0.10827523,-9.761221,0.15314065
801246252,3,1741275720079573760,0.10797612,-9.764212,0.15314065
801246262,3,1741275720089558447,0.10139586,-9.765109,0.1480559
801246272,3,1741275720099542562,0.096311115,-9.775279,0.15433706
801246282,3,1741275720109526520,0.1061815,-9.767203,0.15583257
801246292,3,1741275720119509749,0.09302098,-9.752248,0.14327025
801246302,3,1741275720129494853,0.101694964,-9.763913,0.14356937
801246312,3,1741275720139479124,0.09840483,-9.762716,0.16600206
801246322,3,1741275720149463812,0.109471634,-9.765109,0.15672988
801246332,3,1741275720159447926,0.115752794,-9.7609215,0.14895321
801246342,3,1741275720169431885,0.09661021,-9.756435,0.15343975
801246352,3,1741275720179415114,0.10468599,-9.766306,0.16121642
801246362,3,1741275720189400218,0.104087785,-9.778569,0.14566308
801246372,3,1741275720199385218,0.09601201,-9.758529,0.15672988
801246382,3,1741275720209369333,0.101694964,-9.769297,0.15403795
801246392,3,1741275720219352562,0.09332009,-9.772287,0.15224335
801246402,3,1741275720229337510,0.09900304,-9.775877,0.15553348
801246411,3,1741275720239321937,0.0951147,-9.774382,0.13758731
801246421,3,1741275720249305895,0.10378868,-9.758529,0.14925231
801246431,3,1741275720259290583,0.102592275,-9.760024,0.15882361
801246441,3,1741275720269274697,0.100199446,-9.755239,0.15254244
801246451,3,1741275720279258655,0.11455639,-9.768399,0.15553348
801246461,3,1741275720289243343,0.10468599,-9.759128,0.15553348
801246471,3,1741275720299227458,0.10737792,-9.7681,0.15343975
801246481,3,1741275720309211416,0.09990034,-9.771689,0.148355
801246491,3,1741275720319194645,0.09900304,-9.772287,0.15972091
801246501,3,1741275720329180062,0.10677971,-9.762118,0.14087744
801246511,3,1741275720339164645,0.10049855,-9.760024,0.15044872
801246521,3,1741275720349147874,0.098703936,-9.766904,0.1582254
801246531,3,1741275720359132978,0.1058824,-9.762118,0.1594218
801246541,3,1741275720369117249,0.10797612,-9.760024,0.15583257
801246551,3,1741275720379100478,0.11006984,-9.753743,0.1576272
801246561,3,1741275720388930530,0.11066805,-9.765109,0.15254244
801246571,3,1741275720399042458,0.1052842,-9.763913,0.15164514
801246581,3,1741275720409224749,0.0951147,-9.761221,0.14925231
801246591,3,1741275720419231260,0.11216356,-9.769895,0.15433706
801246601,3,1741275720429319801,0.10378868,-9.772587,0.16061822
801246612,3,1741275720439502093,0.10737792,-9.76152,0.15224335
801246622,3,1741275720449570322,0.09451649,-9.7654085,0.15403795
801246632,3,1741275720459563187,0.12143575,-9.762716,0.14177474
801246642,3,1741275720469547249,0.10199407,-9.777372,0.1576272
801246652,3,1741275720479531208,0.109471634,-9.764811,0.15882361
801246662,3,1741275720489515947,0.11335997,-9.7704935,0.15403795
801246672,3,1741275720499500010,0.11156536,-9.761221,0.16061822
801246682,3,1741275720509483968,0.10707881,-9.77498,0.16271193
801246692,3,1741275720519467145,0.16031912,-9.704989,0.19262223
801246702,3,1741275720529452405,0.17796618,-9.736096,0.7680961
801246712,3,1741275720539437353,5.9820566E-4,-9.853045,0.10049855
801246722,3,1741275720549421416,0.10707881,-9.728918,0.19501504
801246732,3,1741275720559405374,0.053539407,-9.783355,0.15194423
801246742,3,1741275720569390114,0.086141616,-9.770194,0.034695927
801246752,3,1741275720579373395,0.13220344,-9.745667,0.051445685
801246761,3,1741275720589203447,0.15314065,-9.756136,0.017647067
801246771,3,1741275720599163083,0.08315059,-9.773783,-0.0065802624
801246781,3,1741275720609298499,0.09092726,-9.760623,-0.055334024
801246791,3,1741275720619293291,0.1055833,-9.764811,-0.0637089
801246802,3,1741275720629393551,0.1052842,-9.7654085,-0.0951147
801246812,3,1741275720639575843,0.10857433,-9.771091,-0.119042926
801246822,3,1741275720649758968,0.09182457,-9.756435,-0.13010973
801246832,3,1741275720659830478,0.10737792,-9.769895,-0.15732808
801246842,3,1741275720669820010,0.1055833,-9.749855,-0.18305093
801246852,3,1741275720679803187,0.10049855,-9.763314,-0.20518455
801246862,3,1741275720689788447,0.10109676,-9.754341,-0.22701904
801246872,3,1741275720699772510,0.10348958,-9.752547,-0.25603202
801246882,3,1741275720709757301,0.100199446,-9.748958,-0.28743783
801246892,3,1741275720719740478,0.111864455,-9.756435,-0.32422748
801246902,3,1741275720729725114,0.109471634,-9.746864,-0.34187454
801246912,3,1741275720739709958,0.10049855,-9.737592,-0.38285163
801246922,3,1741275720749693968,0.0948156,-9.731311,-0.42502514
801246932,3,1741275720759677926,0.11096715,-9.733404,-0.46899325
801246942,3,1741275720769662718,0.10139586,-9.727721,-0.51535416
801246952,3,1741275720779645895,0.10737792,-9.715159,-0.5620142
801246962,3,1741275720789631312,0.11365908,-9.730413,-0.6257231
801246972,3,1741275720799615374,0.10139586,-9.709775,-0.69092757
801246982,3,1741275720809599333,0.10977074,-9.696316,-0.7636095
801246992,3,1741275720819582458,0.102592275,-9.685847,-0.83060855
801247002,3,1741275720829568239,0.1061815,-9.666704,-0.9089735
801247012,3,1741275720839552353,0.36311084,-9.657133,-1.1042876
801247022,3,1741275720849537145,1.576571,-9.533604,-1.5236298
801247032,3,1741275720859521155,0.8225328,-9.555139,-1.4440684
801247042,3,1741275720869505114,0.7716853,-9.460921,-1.2523435
801247052,3,1741275720879489905,-0.11306087,-9.761819,-1.0648061
801247062,3,1741275720889473916,-0.4989035,-9.471689,-1.5218352
801247072,3,1741275720899457874,-1.0863415,-9.726226,-1.3851452
801247082,3,1741275720909442666,-0.43818563,-8.935697,-2.1284158
801247092,3,1741275720919426676,-0.70977104,-9.647562,-1.9366908
801247102,3,1741275720929410635,-0.02213361,-9.478569,-2.169991
801247112,3,1741275720939395426,0.6436693,-10.079466,-4.4228334
801247122,3,1741275720949379437,5.1843495,-12.190235,-2.4239295
801247132,3,1741275720959363395,3.3284163,-13.818551,1.4886348
801247142,3,1741275720969348187,5.3336015,-10.964512,-3.6906297
801247152,3,1741275720979332197,6.7722864,-8.127222,-7.8670025
801247161,3,1741275720989316989,4.976473,-7.8311105,-8.086245
801247171,3,1741275720999300999,3.0068808,-7.905886,-5.419145
801247181,3,1741275721009284958,-19.437796,-2.2271197,2.7059834
801247191,3,1741275721019268083,-11.339886,-3.6047873,-7.0055866
801247201,3,1741275721029253499,-6.323333,-9.012866,-15.76571
801247211,3,1741275721039238395,-1.1844472,-15.979868,-16.814663
801247221,3,1741275721049222405,5.159823,-6.775277,13.647464
801247231,3,1741275721059206364,1.7548363,-7.4805617,-2.4960132
801247241,3,1741275721069191155,4.025924,-8.379964,0.41844487
801247251,3,1741275721079175166,6.5252275,-7.0731835,1.398904
801247261,3,1741275721089159124,5.499305,-6.0047884,-2.3718855
801247271,3,1741275721099143916,1.1138589,-6.3849483,-7.339086
801247281,3,1741275721109127926,-2.7526433,-6.8162546,-9.34487
801247291,3,1741275721119111051,-0.76570326,-10.848459,-10.550254
801247301,3,1741275721129096312,-1.466202,-13.341482,-6.3254266
801247311,3,1741275721139080374,-1.7201403,-11.846267,-4.8041897
801247321,3,1741275721149065166,0.08554341,-10.578669,-5.734699
801247331,3,1741275721159049176,1.7841483,-10.148858,-5.11077
801247341,3,1741275721169033968,1.1455638,-8.697312,0.48753762
801247351,3,1741275721179017978,1.6707884,-7.242476,-0.08165507
801247361,3,1741275721189001937,2.4074786,-8.048259,-3.4531422
801247371,3,1741275721198986728,0.039780676,-7.4446692,-3.7208393
801247381,3,1741275721208970739,-0.7163513,-6.6708903,-4.0423746
