Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.43.21.088 PM,Capture Start Frame,49894,Total Frames in Take,11684,Total Exported Frames,11684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
59,0.590000,0.286959,-0.572095,-0.688786,0.340493,-0.569119,0.065082,0.014447
60,0.600000,0.286059,-0.572001,-0.689095,0.340784,-0.569007,0.065154,0.014499
61,0.610000,0.285942,-0.572010,-0.689044,0.340970,-0.568969,0.065213,0.014538
62,0.620000,0.286107,-0.572015,-0.689118,0.340672,-0.568988,0.065184,0.014496
63,0.630000,0.286117,-0.571942,-0.689118,0.340787,-0.568992,0.065185,0.014498
64,0.640000,0.285984,-0.572029,-0.689019,0.340952,-0.568991,0.065216,0.014540
65,0.650000,0.286497,-0.572087,-0.688627,0.341218,-0.569059,0.065140,0.014495
66,0.660000,0.286507,-0.571181,-0.689516,0.340932,-0.568964,0.065228,0.014409
67,0.670000,0.286219,-0.572060,-0.689197,0.340344,-0.569002,0.065182,0.014493
68,0.680000,0.286092,-0.571931,-0.689136,0.340789,-0.569002,0.065165,0.014499
69,0.690000,0.286191,-0.572151,-0.689204,0.340201,-0.569037,0.065207,0.014477
70,0.700000,0.286578,-0.571248,-0.689614,0.340559,-0.568991,0.065279,0.014407
71,0.710000,0.286082,-0.571974,-0.689081,0.340836,-0.569023,0.065174,0.014500
72,0.720000,0.286483,-0.571219,-0.689614,0.340690,-0.568954,0.065265,0.014384
73,0.730000,0.285951,-0.572030,-0.689096,0.340823,-0.568998,0.065196,0.014491
74,0.740000,0.286064,-0.572054,-0.689165,0.340548,-0.569019,0.065190,0.014477
75,0.750000,0.285870,-0.572152,-0.689087,0.340705,-0.568990,0.065215,0.014511
76,0.760000,0.286455,-0.571158,-0.689560,0.340924,-0.568950,0.065254,0.014418
77,0.770000,0.286052,-0.571949,-0.689023,0.341022,-0.569008,0.065165,0.014512
78,0.780000,0.286755,-0.571885,-0.688778,0.341033,-0.569100,0.065071,0.014471
79,0.790000,0.286600,-0.571141,-0.689624,0.340701,-0.568983,0.065260,0.014407
80,0.800000,0.286789,-0.571929,-0.688719,0.341050,-0.569099,0.065069,0.014466
81,0.810000,0.286424,-0.571068,-0.689614,0.340991,-0.568960,0.065227,0.014408
82,0.820000,0.286228,-0.572049,-0.689196,0.340356,-0.569027,0.065176,0.014479
83,0.830000,0.286064,-0.571906,-0.689037,0.341055,-0.568989,0.065180,0.014503
84,0.840000,0.286403,-0.571942,-0.688709,0.341373,-0.569057,0.065131,0.014511
85,0.850000,0.286009,-0.571924,-0.689111,0.340923,-0.568996,0.065174,0.014502
86,0.860000,0.286134,-0.571959,-0.689066,0.340849,-0.569012,0.065173,0.014495
87,0.870000,0.286055,-0.571874,-0.689116,0.340957,-0.568995,0.065184,0.014495
88,0.880000,0.285954,-0.572053,-0.689018,0.340940,-0.568971,0.065198,0.014520
89,0.890000,0.286437,-0.571943,-0.688549,0.341667,-0.569053,0.065121,0.014504
90,0.900000,0.285964,-0.571958,-0.689143,0.340838,-0.568981,0.065193,0.014518
91,0.910000,0.286105,-0.571964,-0.689075,0.340848,-0.568989,0.065168,0.014498
92,0.920000,0.286012,-0.571960,-0.689049,0.340984,-0.568985,0.065206,0.014523
93,0.930000,0.286825,-0.571934,-0.688781,0.340886,-0.569115,0.065082,0.014453
94,0.940000,0.286226,-0.571208,-0.689448,0.341258,-0.568936,0.065256,0.014441
95,0.950000,0.286919,-0.571961,-0.688860,0.340602,-0.569120,0.065090,0.014453
96,0.960000,0.285906,-0.572039,-0.689101,0.340837,-0.568972,0.065224,0.014530
97,0.970000,0.286105,-0.571935,-0.689081,0.340885,-0.569014,0.065159,0.014509
98,0.980000,0.286366,-0.571131,-0.689523,0.341119,-0.568944,0.065230,0.014427
99,0.990000,0.286433,-0.571086,-0.689510,0.341165,-0.568953,0.065220,0.014408
100,1.000000,0.286037,-0.571958,-0.689151,0.340760,-0.568996,0.065172,0.014495
101,1.010000,0.286189,-0.571902,-0.689061,0.340908,-0.568995,0.065165,0.014502
102,1.020000,0.286065,-0.571819,-0.689123,0.341026,-0.568986,0.065152,0.014510
103,1.030000,0.286079,-0.571966,-0.689077,0.340862,-0.569005,0.065183,0.014509
104,1.040000,0.286062,-0.571933,-0.689103,0.340879,-0.569005,0.065163,0.014501
105,1.050000,0.286437,-0.571144,-0.689538,0.341007,-0.568938,0.065229,0.014417
106,1.060000,0.286058,-0.572048,-0.689077,0.340742,-0.568990,0.065165,0.014496
107,1.070000,0.285932,-0.572154,-0.689349,0.340119,-0.568983,0.065230,0.014497
108,1.080000,0.285882,-0.571981,-0.688943,0.341272,-0.568965,0.065171,0.014551
109,1.090000,0.286197,-0.572130,-0.689160,0.340320,-0.569006,0.065193,0.014468
110,1.100000,0.285499,-0.572055,-0.689227,0.340897,-0.568923,0.065256,0.014555
111,1.110000,0.286173,-0.571936,-0.689103,0.340781,-0.569010,0.065170,0.014504
112,1.120000,0.286041,-0.572038,-0.689049,0.340830,-0.569012,0.065187,0.014518
113,1.130000,0.286224,-0.571901,-0.689100,0.340803,-0.569005,0.065165,0.014501
114,1.140000,0.286043,-0.571906,-0.689049,0.341049,-0.568985,0.065159,0.014497
115,1.150000,0.286185,-0.572021,-0.689225,0.340380,-0.569023,0.065177,0.014478
116,1.160000,0.286030,-0.571889,-0.689093,0.340999,-0.569001,0.065156,0.014511
117,1.170000,0.286885,-0.571860,-0.688802,0.340918,-0.569104,0.065062,0.014468
118,1.180000,0.286104,-0.571980,-0.689103,0.340764,-0.569031,0.065165,0.014510
119,1.190000,0.286149,-0.572158,-0.689180,0.340273,-0.569011,0.065187,0.014497
120,1.200000,0.285978,-0.571970,-0.689038,0.341020,-0.568972,0.065210,0.014531
121,1.210000,0.286344,-0.571934,-0.688522,0.341813,-0.569029,0.065106,0.014504
122,1.220000,0.286159,-0.572099,-0.689198,0.340327,-0.569021,0.065185,0.014465
123,1.230000,0.286083,-0.571949,-0.689061,0.340920,-0.569005,0.065159,0.014497
124,1.240000,0.286461,-0.572133,-0.688604,0.341218,-0.569070,0.065138,0.014499
125,1.250000,0.286809,-0.571919,-0.688684,0.341120,-0.569109,0.065054,0.014471
126,1.260000,0.286115,-0.571979,-0.689073,0.340820,-0.569006,0.065169,0.014511
127,1.270000,0.286734,-0.571990,-0.688737,0.340958,-0.569109,0.065094,0.014473
128,1.280000,0.286056,-0.572061,-0.689025,0.340827,-0.568994,0.065161,0.014491
129,1.290000,0.285986,-0.571910,-0.689087,0.341014,-0.569008,0.065180,0.014498
130,1.300000,0.285994,-0.572064,-0.688985,0.340955,-0.568990,0.065207,0.014535
131,1.310000,0.286192,-0.572012,-0.689183,0.340476,-0.569017,0.065177,0.014501
132,1.320000,0.286933,-0.572141,-0.688798,0.340413,-0.569128,0.065108,0.014448
133,1.330000,0.286137,-0.571955,-0.689129,0.340726,-0.569010,0.065172,0.014496
134,1.340000,0.286022,-0.572077,-0.689024,0.340830,-0.569006,0.065164,0.014501
135,1.350000,0.286111,-0.571983,-0.689105,0.340749,-0.569024,0.065173,0.014499
136,1.360000,0.286527,-0.572048,-0.688641,0.341228,-0.569056,0.065132,0.014493
137,1.370000,0.286065,-0.571976,-0.689125,0.340759,-0.568999,0.065187,0.014509
138,1.380000,0.285996,-0.572052,-0.689062,0.340819,-0.569007,0.065184,0.014498
139,1.390000,0.286808,-0.571883,-0.688690,0.341169,-0.569095,0.065066,0.014476
140,1.400000,0.286801,-0.571901,-0.688757,0.341010,-0.569101,0.065076,0.014483
141,1.410000,0.286069,-0.571979,-0.689106,0.340789,-0.568989,0.065186,0.014508
142,1.420000,0.286395,-0.572125,-0.688633,0.341228,-0.569060,0.065150,0.014503
143,1.430000,0.285923,-0.572152,-0.689003,0.340829,-0.568971,0.065227,0.014519
144,1.440000,0.286553,-0.571212,-0.689601,0.340669,-0.568995,0.065272,0.014409
145,1.450000,0.286242,-0.572060,-0.689232,0.340254,-0.569022,0.065195,0.014490
146,1.460000,0.285919,-0.571980,-0.689094,0.340937,-0.568977,0.065210,0.014538
147,1.470000,0.285907,-0.572071,-0.689055,0.340873,-0.568977,0.065226,0.014532
148,1.480000,0.286383,-0.571964,-0.688680,0.341412,-0.569069,0.065154,0.014502
149,1.490000,0.286042,-0.571862,-0.689129,0.340963,-0.569006,0.065190,0.014506
150,1.500000,0.286001,-0.571840,-0.689158,0.340975,-0.568989,0.065182,0.014495
151,1.510000,0.286056,-0.571878,-0.689183,0.340814,-0.569008,0.065196,0.014501
152,1.520000,0.285846,-0.572069,-0.689088,0.340861,-0.568973,0.065231,0.014526
153,1.530000,0.286080,-0.571902,-0.689045,0.341032,-0.569001,0.065166,0.014499
154,1.540000,0.285891,-0.571980,-0.689033,0.341085,-0.568984,0.065218,0.014524
155,1.550000,0.286069,-0.571930,-0.689100,0.340886,-0.568988,0.065173,0.014494
156,1.560000,0.286495,-0.571049,-0.689519,0.341157,-0.568944,0.065232,0.014425
157,1.570000,0.286022,-0.571867,-0.689102,0.341026,-0.568983,0.065171,0.014492
