Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.46.36.882 PM,Capture Start Frame,69474,Total Frames in Take,24703,Total Exported Frames,24703,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
59,0.590000,0.286337,-0.570116,-0.690495,0.340875,-0.569548,0.065224,0.014521
60,0.600000,0.286260,-0.570076,-0.690588,0.340816,-0.569533,0.065230,0.014525
61,0.610000,0.286346,-0.570112,-0.690562,0.340740,-0.569553,0.065236,0.014513
62,0.620000,0.285952,-0.570159,-0.690343,0.341434,-0.569513,0.065245,0.014560
63,0.630000,0.286450,-0.569982,-0.690492,0.341011,-0.569643,0.065222,0.014552
64,0.640000,0.286463,-0.569914,-0.690491,0.341115,-0.569628,0.065222,0.014544
65,0.650000,0.286393,-0.569896,-0.690401,0.341385,-0.569611,0.065203,0.014546
66,0.660000,0.285977,-0.570040,-0.690433,0.341429,-0.569508,0.065230,0.014560
67,0.670000,0.286281,-0.570092,-0.690548,0.340855,-0.569542,0.065223,0.014527
68,0.680000,0.286250,-0.570044,-0.690541,0.340976,-0.569526,0.065239,0.014519
69,0.690000,0.286436,-0.569890,-0.690427,0.341308,-0.569630,0.065222,0.014552
70,0.700000,0.286432,-0.569894,-0.690419,0.341320,-0.569633,0.065227,0.014549
71,0.710000,0.286520,-0.570013,-0.690361,0.341166,-0.569631,0.065226,0.014556
72,0.720000,0.286176,-0.569884,-0.690353,0.341684,-0.569609,0.065239,0.014588
73,0.730000,0.286453,-0.569939,-0.690455,0.341153,-0.569629,0.065214,0.014553
74,0.740000,0.286198,-0.570090,-0.690572,0.340880,-0.569549,0.065215,0.014531
75,0.750000,0.286330,-0.570195,-0.690495,0.340750,-0.569557,0.065222,0.014530
76,0.760000,0.286233,-0.570102,-0.690447,0.341084,-0.569550,0.065217,0.014533
77,0.770000,0.286150,-0.570114,-0.690465,0.341096,-0.569529,0.065225,0.014513
78,0.780000,0.286246,-0.570081,-0.690532,0.340935,-0.569550,0.065218,0.014515
79,0.790000,0.286338,-0.570052,-0.690495,0.340981,-0.569560,0.065210,0.014518
80,0.800000,0.286430,-0.569867,-0.690472,0.341260,-0.569636,0.065202,0.014539
81,0.810000,0.286407,-0.569928,-0.690443,0.341237,-0.569621,0.065208,0.014537
82,0.820000,0.286235,-0.570170,-0.690454,0.340954,-0.569534,0.065237,0.014509
83,0.830000,0.286206,-0.570101,-0.690487,0.341025,-0.569541,0.065227,0.014521
84,0.840000,0.286580,-0.569838,-0.690421,0.341286,-0.569626,0.065207,0.014531
85,0.850000,0.286331,-0.570070,-0.690507,0.340932,-0.569535,0.065205,0.014514
86,0.860000,0.286364,-0.570025,-0.690510,0.340974,-0.569559,0.065224,0.014510
87,0.870000,0.286234,-0.569955,-0.690556,0.341107,-0.569525,0.065219,0.014506
88,0.880000,0.286489,-0.569920,-0.690403,0.341262,-0.569626,0.065221,0.014530
89,0.890000,0.286519,-0.569851,-0.690450,0.341255,-0.569631,0.065205,0.014529
90,0.900000,0.286199,-0.570016,-0.690533,0.341081,-0.569534,0.065217,0.014515
91,0.910000,0.286312,-0.570090,-0.690503,0.340922,-0.569544,0.065219,0.014510
92,0.920000,0.286129,-0.570102,-0.690489,0.341085,-0.569542,0.065228,0.014506
93,0.930000,0.286209,-0.570068,-0.690499,0.341055,-0.569559,0.065216,0.014519
94,0.940000,0.286366,-0.570008,-0.690557,0.340906,-0.569551,0.065218,0.014521
95,0.950000,0.286245,-0.569984,-0.690543,0.341075,-0.569538,0.065224,0.014505
96,0.960000,0.286266,-0.570071,-0.690520,0.340959,-0.569546,0.065221,0.014509
97,0.970000,0.286277,-0.570065,-0.690441,0.341119,-0.569538,0.065205,0.014513
98,0.980000,0.286270,-0.570070,-0.690561,0.340874,-0.569535,0.065210,0.014507
99,0.990000,0.286341,-0.569929,-0.690535,0.341101,-0.569536,0.065209,0.014529
100,1.000000,0.286479,-0.569836,-0.690517,0.341179,-0.569636,0.065209,0.014542
101,1.010000,0.286402,-0.569903,-0.690541,0.341083,-0.569628,0.065208,0.014540
102,1.020000,0.285958,-0.570023,-0.690364,0.341613,-0.569476,0.065220,0.014559
103,1.030000,0.286225,-0.570063,-0.690438,0.341172,-0.569533,0.065194,0.014513
104,1.040000,0.286404,-0.570124,-0.690528,0.340737,-0.569541,0.065209,0.014501
105,1.050000,0.286274,-0.570027,-0.690533,0.341001,-0.569549,0.065210,0.014531
106,1.060000,0.286436,-0.569820,-0.690447,0.341385,-0.569612,0.065205,0.014543
107,1.070000,0.286308,-0.570053,-0.690484,0.341026,-0.569529,0.065209,0.014524
108,1.080000,0.286330,-0.570097,-0.690450,0.341005,-0.569546,0.065217,0.014509
109,1.090000,0.286504,-0.569832,-0.690457,0.341285,-0.569626,0.065204,0.014540
110,1.100000,0.286462,-0.569862,-0.690418,0.341350,-0.569621,0.065205,0.014530
111,1.110000,0.286286,-0.570069,-0.690543,0.340900,-0.569535,0.065209,0.014511
112,1.120000,0.286496,-0.569914,-0.690475,0.341120,-0.569629,0.065210,0.014540
113,1.130000,0.286440,-0.569863,-0.690442,0.341320,-0.569612,0.065214,0.014543
114,1.140000,0.286442,-0.569812,-0.690426,0.341434,-0.569621,0.065224,0.014540
115,1.150000,0.286313,-0.570151,-0.690430,0.340968,-0.569538,0.065223,0.014502
116,1.160000,0.286401,-0.569871,-0.690455,0.341310,-0.569618,0.065220,0.014541
117,1.170000,0.286339,-0.570043,-0.690549,0.340886,-0.569541,0.065237,0.014518
118,1.180000,0.286282,-0.570088,-0.690556,0.340844,-0.569543,0.065202,0.014510
119,1.190000,0.286190,-0.570076,-0.690537,0.340981,-0.569538,0.065222,0.014515
120,1.200000,0.286354,-0.570057,-0.690550,0.340847,-0.569553,0.065219,0.014509
121,1.210000,0.286532,-0.569895,-0.690412,0.341248,-0.569633,0.065225,0.014537
122,1.220000,0.286418,-0.569894,-0.690442,0.341285,-0.569635,0.065212,0.014535
123,1.230000,0.286301,-0.570069,-0.690528,0.340917,-0.569550,0.065208,0.014521
124,1.240000,0.286279,-0.570008,-0.690523,0.341047,-0.569526,0.065205,0.014512
125,1.250000,0.286299,-0.570061,-0.690460,0.341069,-0.569528,0.065217,0.014529
126,1.260000,0.286622,-0.570024,-0.690311,0.341161,-0.569585,0.065143,0.014515
127,1.270000,0.286332,-0.570054,-0.690508,0.340956,-0.569539,0.065222,0.014519
128,1.280000,0.286050,-0.570068,-0.690380,0.341428,-0.569523,0.065238,0.014556
129,1.290000,0.286254,-0.570024,-0.690499,0.341091,-0.569539,0.065195,0.014530
130,1.300000,0.285910,-0.570001,-0.690436,0.341544,-0.569502,0.065213,0.014549
131,1.310000,0.285971,-0.569997,-0.690433,0.341507,-0.569499,0.065233,0.014559
132,1.320000,0.286292,-0.570016,-0.690545,0.340978,-0.569533,0.065226,0.014516
133,1.330000,0.286360,-0.569951,-0.690551,0.341019,-0.569546,0.065206,0.014518
134,1.340000,0.286292,-0.570049,-0.690565,0.340882,-0.569545,0.065217,0.014525
135,1.350000,0.286278,-0.570012,-0.690559,0.340969,-0.569535,0.065216,0.014504
136,1.360000,0.286205,-0.570040,-0.690471,0.341161,-0.569524,0.065210,0.014522
137,1.370000,0.286322,-0.570059,-0.690564,0.340841,-0.569538,0.065208,0.014496
138,1.380000,0.286256,-0.570016,-0.690546,0.341007,-0.569529,0.065207,0.014507
139,1.390000,0.286379,-0.570084,-0.690565,0.340751,-0.569559,0.065209,0.014509
140,1.400000,0.286616,-0.570024,-0.690338,0.341111,-0.569575,0.065160,0.014510
141,1.410000,0.286278,-0.570068,-0.690509,0.340977,-0.569555,0.065230,0.014528
142,1.420000,0.286293,-0.570045,-0.690592,0.340834,-0.569542,0.065225,0.014534
143,1.430000,0.286209,-0.570091,-0.690535,0.340943,-0.569549,0.065213,0.014522
144,1.440000,0.286172,-0.570029,-0.690525,0.341098,-0.569525,0.065213,0.014521
145,1.450000,0.286324,-0.570108,-0.690489,0.340912,-0.569543,0.065216,0.014515
146,1.460000,0.286350,-0.570078,-0.690540,0.340836,-0.569560,0.065201,0.014521
147,1.470000,0.286203,-0.570059,-0.690492,0.341088,-0.569550,0.065210,0.014535
148,1.480000,0.286365,-0.570078,-0.690567,0.340770,-0.569560,0.065225,0.014527
149,1.490000,0.286063,-0.569996,-0.690452,0.341393,-0.569521,0.065221,0.014573
150,1.500000,0.286331,-0.570050,-0.690538,0.340902,-0.569541,0.065202,0.014532
