Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 07.04.03.103 PM,Capture Start Frame,174096,Total Frames in Take,20102,Total Exported Frames,20102,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
59,0.590000,-0.287092,0.570732,0.689365,-0.341496,-0.569081,0.065155,0.014484
60,0.600000,-0.287078,0.570650,0.689466,-0.341442,-0.569096,0.065158,0.014501
61,0.610000,-0.286997,0.570692,0.689386,-0.341599,-0.569085,0.065142,0.014492
62,0.620000,-0.287039,0.570707,0.689394,-0.341521,-0.569084,0.065147,0.014484
63,0.630000,-0.287097,0.570717,0.689429,-0.341387,-0.569069,0.065143,0.014496
64,0.640000,-0.287050,0.570718,0.689420,-0.341443,-0.569080,0.065132,0.014476
65,0.650000,-0.287030,0.570822,0.689357,-0.341414,-0.569082,0.065141,0.014484
66,0.660000,-0.287148,0.570706,0.689390,-0.341441,-0.569086,0.065147,0.014493
67,0.670000,-0.287126,0.570592,0.689452,-0.341525,-0.569084,0.065139,0.014504
68,0.680000,-0.287129,0.570674,0.689411,-0.341469,-0.569086,0.065142,0.014497
69,0.690000,-0.287007,0.570725,0.689409,-0.341490,-0.569090,0.065159,0.014492
70,0.700000,-0.287089,0.570742,0.689432,-0.341345,-0.569073,0.065159,0.014493
71,0.710000,-0.287058,0.570703,0.689429,-0.341443,-0.569080,0.065130,0.014492
72,0.720000,-0.287082,0.570601,0.689432,-0.341589,-0.569091,0.065145,0.014501
73,0.730000,-0.287071,0.570657,0.689437,-0.341494,-0.569072,0.065160,0.014507
74,0.740000,-0.287040,0.570707,0.689420,-0.341470,-0.569078,0.065158,0.014494
75,0.750000,-0.287176,0.570674,0.689392,-0.341467,-0.569069,0.065153,0.014482
76,0.760000,-0.286994,0.570765,0.689369,-0.341515,-0.569099,0.065149,0.014481
77,0.770000,-0.287033,0.570695,0.689446,-0.341442,-0.569080,0.065153,0.014484
78,0.780000,-0.287107,0.570634,0.689393,-0.341590,-0.569073,0.065173,0.014488
79,0.790000,-0.287006,0.570696,0.689378,-0.341602,-0.569082,0.065179,0.014485
80,0.800000,-0.286997,0.570666,0.689388,-0.341638,-0.569083,0.065164,0.014480
81,0.810000,-0.287116,0.570617,0.689405,-0.341587,-0.569078,0.065150,0.014490
82,0.820000,-0.287163,0.570672,0.689378,-0.341510,-0.569071,0.065158,0.014489
83,0.830000,-0.287117,0.570708,0.689447,-0.341348,-0.569061,0.065157,0.014488
84,0.840000,-0.286999,0.570688,0.689417,-0.341542,-0.569064,0.065156,0.014487
85,0.850000,-0.287091,0.570632,0.689394,-0.341604,-0.569076,0.065163,0.014491
86,0.860000,-0.287026,0.570629,0.689449,-0.341553,-0.569073,0.065171,0.014486
87,0.870000,-0.287041,0.570645,0.689452,-0.341506,-0.569069,0.065165,0.014496
88,0.880000,-0.287053,0.570772,0.689395,-0.341401,-0.569074,0.065165,0.014496
89,0.890000,-0.287052,0.570740,0.689390,-0.341464,-0.569079,0.065154,0.014487
90,0.900000,-0.287056,0.570661,0.689426,-0.341521,-0.569066,0.065155,0.014501
91,0.910000,-0.287061,0.570608,0.689468,-0.341522,-0.569085,0.065140,0.014497
92,0.920000,-0.287048,0.570661,0.689445,-0.341490,-0.569077,0.065153,0.014480
93,0.930000,-0.286971,0.570750,0.689432,-0.341433,-0.569074,0.065162,0.014486
94,0.940000,-0.287013,0.570672,0.689471,-0.341448,-0.569062,0.065147,0.014478
95,0.950000,-0.286995,0.570712,0.689446,-0.341446,-0.569084,0.065164,0.014485
96,0.960000,-0.287122,0.570649,0.689472,-0.341393,-0.569082,0.065171,0.014503
97,0.970000,-0.287057,0.570693,0.689418,-0.341484,-0.569072,0.065149,0.014489
98,0.980000,-0.287042,0.570674,0.689390,-0.341584,-0.569078,0.065148,0.014494
