gravity  Non-wakeup,QTI,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801750367,3,0.10834239,-9.803932,0.20387861
801750377,3,0.108355984,-9.803931,0.20390517
801750387,3,0.10854117,-9.803928,0.20396799
801750397,3,0.10869144,-9.803925,0.20404677
801750407,3,0.10864588,-9.803924,0.20415263
801750417,3,0.108566865,-9.803925,0.20414479
801750427,3,0.10853596,-9.803925,0.20415224
801750437,3,0.10864489,-9.8039255,0.20401028
801750447,3,0.108585745,-9.803927,0.20396294
801750457,3,0.10855718,-9.803929,0.20392251
801750467,3,0.10853563,-9.803928,0.20398699
801750477,3,0.108441174,-9.803928,0.2040395
801750487,3,0.10858269,-9.8039255,0.2040755
801750497,3,0.10851233,-9.803925,0.20417883
801750507,3,0.10850265,-9.803923,0.20424677
801750517,3,0.10864613,-9.803918,0.2043312
801750527,3,0.10851403,-9.803921,0.20436305
801750537,3,0.10849982,-9.803924,0.20421574
801750547,3,0.10856925,-9.803922,0.20426174
801750557,3,0.10855406,-9.80392,0.20431943
801750567,3,0.1084984,-9.803925,0.20416716
801750577,3,0.10857739,-9.803925,0.20411007
801750587,3,0.108659275,-9.8039255,0.20401962
801750597,3,0.1086534,-9.803927,0.20396665
801750607,3,0.108525574,-9.803928,0.20396979
801750617,3,0.10841283,-9.803928,0.20401466
801750627,3,0.108445324,-9.80393,0.20390987
801750637,3,0.10851336,-9.803928,0.20395705
801750647,3,0.10863864,-9.803927,0.20396455
801750657,3,0.10856278,-9.803933,0.20372361
801750667,3,0.108544186,-9.803936,0.20357385
801750677,3,0.10854554,-9.803941,0.20335549
801750687,3,0.108859845,-9.803939,0.20327815
801750697,3,0.108895816,-9.803938,0.20330812
801750707,3,0.10894698,-9.803936,0.20335028
801750717,3,0.10886704,-9.80394,0.2032383
801750727,3,0.108962566,-9.803943,0.2030514
801750737,3,0.10897223,-9.803945,0.20295364
801750747,3,0.10898765,-9.803944,0.20294337
801750757,3,0.10887045,-9.803946,0.20297286
801750767,3,0.1089006,-9.803943,0.20305303
801750777,3,0.109073676,-9.803942,0.20301709
801750787,3,0.10907941,-9.803946,0.20284514
801750797,3,0.10896454,-9.803948,0.20275396
801750807,3,0.10910393,-9.803943,0.20295991
801750817,3,0.109202094,-9.803943,0.20290934
801750827,3,0.10938944,-9.803938,0.20304976
801750836,3,0.10946196,-9.803937,0.20302573
801750846,3,0.109771,-9.803933,0.20305808
801750856,3,0.109851524,-9.803934,0.20297173
801750866,3,0.109775044,-9.803936,0.20292476
801750876,3,0.109744065,-9.803936,0.2029556
801750886,3,0.10990215,-9.803938,0.20275886
801750896,3,0.10990452,-9.803941,0.20262818
801750906,3,0.10995124,-9.803938,0.20271969
801750916,3,0.109950356,-9.803938,0.20274708
801750926,3,0.109731324,-9.803943,0.2026255
801750936,3,0.1096631,-9.803942,0.20268343
801750946,3,0.10971316,-9.803943,0.2026701
801750956,3,0.10947599,-9.8039465,0.2025694
801750966,3,0.10949172,-9.803949,0.20241295
801750976,3,0.10967558,-9.803951,0.20222591
801750986,3,0.10984948,-9.803948,0.20229656
801750996,3,0.109819606,-9.803952,0.20213164
801751006,3,0.109697856,-9.803951,0.20221539
801751016,3,0.1097323,-9.803951,0.2022002
801751026,3,0.10978319,-9.803954,0.20203924
801751036,3,0.10988977,-9.803952,0.20205362
801751046,3,0.10982576,-9.803957,0.20188364
801751056,3,0.10984353,-9.803956,0.20192666
801751066,3,0.10968775,-9.803959,0.2018495
801751076,3,0.10972418,-9.803955,0.20199324
801751086,3,0.1098361,-9.803955,0.20196743
801751096,3,0.10970659,-9.803957,0.20192046
801751106,3,0.10974142,-9.803959,0.2018316
801751116,3,0.10990179,-9.80396,0.20171075
801751126,3,0.10962706,-9.803963,0.20168969
801751136,3,0.109510936,-9.803961,0.20182675
801751146,3,0.10974053,-9.803961,0.20175408
801751156,3,0.10979432,-9.80396,0.201739
801751166,3,0.10979885,-9.803964,0.20156276
801751176,3,0.109794535,-9.803965,0.20150475
801751186,3,0.109792285,-9.8039665,0.20142171
801751196,3,0.10964233,-9.803967,0.20147061
801751206,3,0.10967568,-9.803969,0.2013756
801751216,3,0.109577976,-9.803972,0.20129913
801751226,3,0.10936804,-9.803973,0.20132129
801751236,3,0.10940126,-9.803977,0.2011233
801751246,3,0.10954172,-9.803978,0.20098759
801751256,3,0.10946721,-9.803986,0.20071419
801751266,3,0.109520495,-9.803985,0.20067297
801751276,3,0.10954524,-9.803985,0.20067894
