mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801440233,3,3.8,8.712501,151.5125,-27.0,-69.0,177.0
801440242,3,3.8125,8.7,151.5,-27.0,-69.0,177.0
801440252,3,3.7875001,8.675,151.5125,-27.0,-69.0,177.0
801440261,3,3.7625,8.650001,151.52501,-27.0,-69.0,177.0
801440271,3,3.75,8.6375,151.55,-27.0,-69.0,177.0
801440280,3,3.75,8.625,151.575,-27.0,-69.0,177.0
801440290,3,3.7375,8.6125,151.575,-27.0,-69.0,177.0
801440299,3,3.75,8.6,151.575,-27.0,-69.0,177.0
801440309,3,3.7875001,8.6125,151.58751,-27.0,-69.0,177.0
801440318,3,3.8125,8.6125,151.575,-27.0,-69.0,177.0
801440328,3,3.8500001,8.6125,151.5,-27.0,-69.0,177.0
801440337,3,3.8875,8.6125,151.475,-27.0,-69.0,177.0
801440347,3,3.8875,8.6,151.46251,-27.0,-69.0,177.0
801440356,3,3.875,8.6,151.45,-27.0,-69.0,177.0
801440366,3,3.8625,8.6,151.4375,-27.0,-69.0,177.0
801440375,3,3.8375,8.6125,151.45,-27.0,-69.0,177.0
801440385,3,3.775,8.6125,151.46251,-27.0,-69.0,177.0
801440394,3,3.7375,8.6125,151.5125,-27.0,-69.0,177.0
801440404,3,3.7,8.6125,151.6,-27.0,-69.0,177.0
801440413,3,3.6625001,8.6125,151.6625,-27.0,-69.0,177.0
801440423,3,3.6625001,8.6375,151.71251,-27.0,-69.0,177.0
801440432,3,3.6625001,8.6625,151.77501,-27.0,-69.0,177.0
801440442,3,3.6625001,8.6875,151.8,-27.0,-69.0,177.0
801440451,3,3.65,8.6875,151.83751,-27.0,-69.0,177.0
801440461,3,3.675,8.7,151.825,-27.0,-69.0,177.0
801440470,3,3.6875,8.6875,151.825,-27.0,-69.0,177.0
801440480,3,3.7,8.675,151.85,-27.0,-69.0,177.0
801440489,3,3.7375,8.6625,151.825,-27.0,-69.0,177.0
801440499,3,3.7375,8.6125,151.825,-27.0,-69.0,177.0
801440508,3,3.75,8.55,151.8625,-27.0,-69.0,177.0
801440518,3,3.7625,8.475,151.8625,-27.0,-69.0,177.0
801440527,3,3.7875001,8.4125,151.83751,-27.0,-69.0,177.0
801440537,3,3.7875001,8.375,151.85,-27.0,-69.0,177.0
801440546,3,3.8,8.3875,151.7875,-27.0,-69.0,177.0
801440556,3,3.8125,8.425,151.7625,-27.0,-69.0,177.0
801440565,3,3.8125,8.475,151.7625,-27.0,-69.0,177.0
801440575,3,3.8375,8.525001,151.7875,-27.0,-69.0,177.0
801440584,3,3.8500001,8.575,151.77501,-27.0,-69.0,177.0
801440594,3,3.875,8.6375,151.8125,-27.0,-69.0,177.0
801440603,3,3.875,8.675,151.8625,-27.0,-69.0,177.0
801440613,3,3.8875,8.6875,151.8875,-27.0,-69.0,177.0
801440622,3,3.9,8.6875,151.925,-27.0,-69.0,177.0
801440632,3,3.9,8.650001,151.9375,-27.0,-69.0,177.0
801440641,3,3.8875,8.625,151.95,-27.0,-69.0,177.0
801440651,3,3.8500001,8.6,151.9125,-27.0,-69.0,177.0
801440660,3,3.8500001,8.587501,151.8875,-27.0,-69.0,177.0
801440670,3,3.8125,8.575,151.83751,-27.0,-69.0,177.0
801440679,3,3.8,8.55,151.7875,-27.0,-69.0,177.0
801440689,3,3.7875001,8.5375,151.7625,-27.0,-69.0,177.0
801440698,3,3.75,8.5,151.75,-27.0,-69.0,177.0
801440708,3,3.7375,8.475,151.7375,-27.0,-69.0,177.0
801440717,3,3.7250001,8.4375,151.71251,-27.0,-69.0,177.0
801440727,3,3.75,8.400001,151.6875,-27.0,-69.0,177.0
801440736,3,3.7250001,8.3625,151.6375,-27.0,-69.0,177.0
801440746,3,3.7250001,8.3625,151.6125,-27.0,-69.0,177.0
801440755,3,3.75,8.400001,151.55,-27.0,-69.0,177.0
801440765,3,3.7625,8.45,151.475,-27.0,-69.0,177.0
801440774,3,3.7875001,8.525001,151.4125,-27.0,-69.0,177.0
801440784,3,3.775,8.587501,151.35,-27.0,-69.0,177.0
801440793,3,3.7875001,8.650001,151.33751,-27.0,-69.0,177.0
801440803,3,3.75,8.6875,151.3625,-27.0,-69.0,177.0
801440812,3,3.7625,8.725,151.40001,-27.0,-69.0,177.0
801440822,3,3.775,8.725,151.46251,-27.0,-69.0,177.0
801440831,3,3.75,8.712501,151.58751,-27.0,-69.0,177.0
801440841,3,3.7250001,8.712501,151.6625,-27.0,-69.0,177.0
801440850,3,3.6875,8.712501,151.7,-27.0,-69.0,177.0
801440860,3,3.6875,8.712501,151.725,-27.0,-69.0,177.0
801440869,3,3.675,8.712501,151.7375,-27.0,-69.0,177.0
801440879,3,3.6875,8.7375,151.71251,-27.0,-69.0,177.0
801440888,3,3.6625001,8.75,151.725,-27.0,-69.0,177.0
801440898,3,3.65,8.775001,151.725,-27.0,-69.0,177.0
801440907,3,3.65,8.7875,151.7,-27.0,-69.0,177.0
801440917,3,3.6375,8.7625,151.725,-27.0,-69.0,177.0
801440926,3,3.675,8.7375,151.7625,-27.0,-69.0,177.0
801440936,3,3.6875,8.712501,151.825,-27.0,-69.0,177.0
801440945,3,3.7,8.7,151.8625,-27.0,-69.0,177.0
801440955,3,3.6875,8.675,151.90001,-27.0,-69.0,177.0
801440964,3,3.6875,8.650001,151.90001,-27.0,-69.0,177.0
801440974,3,3.65,8.625,151.8875,-27.0,-69.0,177.0
801440983,3,3.625,8.587501,151.8875,-27.0,-69.0,177.0
801440993,3,3.625,8.6,151.875,-27.0,-69.0,177.0
801441002,3,3.6000001,8.6,151.875,-27.0,-69.0,177.0
801441012,3,3.6000001,8.625,151.85,-27.0,-69.0,177.0
801441021,3,3.6000001,8.6375,151.8125,-27.0,-69.0,177.0
801441031,3,3.6000001,8.650001,151.77501,-27.0,-69.0,177.0
801441040,3,3.6000001,8.675,151.7625,-27.0,-69.0,177.0
801441050,3,3.6375,8.675,151.77501,-27.0,-69.0,177.0
801441059,3,3.6625001,8.712501,151.75,-27.0,-69.0,177.0
801441069,3,3.6625001,8.725,151.725,-27.0,-69.0,177.0
801441078,3,3.65,8.7375,151.6875,-27.0,-69.0,177.0
801441088,3,3.6125,8.725,151.65001,-27.0,-69.0,177.0
801441097,3,3.5875,8.712501,151.65001,-27.0,-69.0,177.0
801441107,3,3.575,8.6875,151.675,-27.0,-69.0,177.0
801441116,3,3.6125,8.650001,151.7,-27.0,-69.0,177.0
801441126,3,3.6375,8.6375,151.725,-27.0,-69.0,177.0
801441135,3,3.6375,8.625,151.7375,-27.0,-69.0,177.0
801441145,3,3.65,8.6125,151.77501,-27.0,-69.0,177.0
801441154,3,3.65,8.625,151.7875,-27.0,-69.0,177.0
801441164,3,3.675,8.650001,151.8125,-27.0,-69.0,177.0
801441173,3,3.675,8.6625,151.825,-27.0,-69.0,177.0
801441183,3,3.6875,8.7,151.83751,-27.0,-69.0,177.0
801441192,3,3.65,8.7375,151.83751,-27.0,-69.0,177.0
801441202,3,3.6000001,8.75,151.825,-27.0,-69.0,177.0
801441211,3,3.6125,8.7625,151.85,-27.0,-69.0,177.0
801441221,3,3.6125,8.7625,151.85,-27.0,-69.0,177.0
801441230,3,3.6125,8.75,151.85,-27.0,-69.0,177.0
801441240,3,3.6125,8.7375,151.8625,-27.0,-69.0,177.0
801441249,3,3.625,8.7375,151.85,-27.0,-69.0,177.0
801441259,3,3.6375,8.725,151.825,-27.0,-69.0,177.0
801441268,3,3.65,8.7,151.8125,-27.0,-69.0,177.0
801441278,3,3.6875,8.7,151.8,-27.0,-69.0,177.0
801441287,3,3.6875,8.6875,151.75,-27.0,-69.0,177.0
801441297,3,3.6875,8.675,151.71251,-27.0,-69.0,177.0
801441306,3,3.7125,8.6625,151.75,-27.0,-69.0,177.0
801441316,3,3.7,8.6375,151.7875,-27.0,-69.0,177.0
801441325,3,3.6875,8.6125,151.8125,-27.0,-69.0,177.0
801441335,3,3.6625001,8.587501,151.875,-27.0,-69.0,177.0
801441344,3,3.675,8.587501,151.9125,-27.0,-69.0,177.0
801441354,3,3.675,8.5625,151.925,-27.0,-69.0,177.0
801441363,3,3.675,8.5375,151.95,-27.0,-69.0,177.0
801441373,3,3.6625001,8.525001,151.95,-27.0,-69.0,177.0
801441382,3,3.6375,8.5,151.9125,-27.0,-69.0,177.0
801441392,3,3.625,8.4875,151.9125,-27.0,-69.0,177.0
801441401,3,3.6125,8.5,151.9375,-27.0,-69.0,177.0
801441411,3,3.6125,8.525001,151.925,-27.0,-69.0,177.0
801441420,3,3.575,8.55,151.9375,-27.0,-69.0,177.0
801441430,3,3.5625,8.587501,151.9375,-27.0,-69.0,177.0
