gravity  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801440799,3,0.10722777,-9.804517,0.17416255
801440809,3,0.10707859,-9.80452,0.17411046
801440819,3,0.106996015,-9.804518,0.17428389
801440829,3,0.10679664,-9.80452,0.17428848
801440839,3,0.106757075,-9.804523,0.17410842
801440849,3,0.1068135,-9.804521,0.17423233
801440859,3,0.10670031,-9.8045225,0.17420505
801440869,3,0.10667959,-9.804524,0.17409827
801440879,3,0.106753774,-9.804525,0.17401889
801440889,3,0.10683844,-9.804525,0.17396024
801440899,3,0.10699959,-9.804525,0.17384972
801440909,3,0.10700534,-9.804524,0.17389782
801440919,3,0.106893495,-9.804526,0.1738819
801440929,3,0.10691615,-9.804525,0.17390618
801440939,3,0.10692941,-9.804524,0.17390963
801440949,3,0.106969275,-9.804524,0.17391832
801440959,3,0.107134484,-9.804523,0.17387258
801440969,3,0.107168466,-9.804525,0.17373146
801440979,3,0.107311614,-9.804525,0.17365514
801440989,3,0.10723931,-9.804527,0.17361383
801440999,3,0.10735425,-9.804526,0.17355356
801441009,3,0.10747602,-9.804526,0.1735138
801441019,3,0.107623726,-9.804524,0.17350303
801441029,3,0.10762365,-9.804523,0.1735757
801441039,3,0.1076095,-9.804524,0.17353843
801441049,3,0.107662216,-9.804525,0.17342786
801441059,3,0.10770744,-9.8045225,0.17358413
801441069,3,0.10769495,-9.804524,0.17350088
801441079,3,0.107764445,-9.8045225,0.17349029
801441089,3,0.10776685,-9.804523,0.17345016
801441099,3,0.1077702,-9.804526,0.1732487
801441109,3,0.107733205,-9.804529,0.17315614
801441119,3,0.10792391,-9.804526,0.17322722
801441129,3,0.10795758,-9.804527,0.17307784
801441139,3,0.107891575,-9.804531,0.1729345
801441149,3,0.10789202,-9.804532,0.17294577
801441159,3,0.10781473,-9.804535,0.17275563
801441168,3,0.10773574,-9.804537,0.17276643
801441178,3,0.10791508,-9.804538,0.1725848
801441188,3,0.10801105,-9.804539,0.1724753
801441198,3,0.107896015,-9.8045435,0.17226122
801441208,3,0.10797839,-9.804546,0.17204481
801441218,3,0.10785213,-9.80455,0.17190203
801441228,3,0.10786599,-9.804551,0.17184585
801441238,3,0.107789166,-9.804553,0.17179693
801441248,3,0.10784178,-9.804553,0.1717728
801441258,3,0.10801721,-9.804552,0.17166404
801441268,3,0.10776531,-9.804557,0.17157966
801441278,3,0.10768601,-9.8045635,0.17125964
801441288,3,0.10768879,-9.804564,0.17122789
801441298,3,0.107673146,-9.804565,0.17112812
801441308,3,0.10741802,-9.804571,0.17094663
801441318,3,0.10737306,-9.804572,0.17096098
801441328,3,0.10721506,-9.804574,0.1709304
801441338,3,0.10714933,-9.804579,0.17072806
801441348,3,0.10711468,-9.804582,0.17056786
801441358,3,0.107064635,-9.804582,0.1706178
801441368,3,0.107021004,-9.80458,0.17070857
801441378,3,0.10689784,-9.804584,0.1706303
801441388,3,0.1069136,-9.804584,0.17057374
801441398,3,0.106703684,-9.804588,0.17042436
801441408,3,0.10679116,-9.804588,0.17038564
801441418,3,0.10676055,-9.80459,0.17032777
801441428,3,0.10664318,-9.80459,0.17040281
801441438,3,0.10686436,-9.804589,0.17029102
801441448,3,0.10702082,-9.804589,0.1701502
801441458,3,0.10700064,-9.80459,0.17014179
801441468,3,0.10695851,-9.804593,0.16997802
801441478,3,0.10710574,-9.804594,0.16986936
801441488,3,0.10703779,-9.804598,0.16969962
801441498,3,0.10700942,-9.804598,0.16970298
801441508,3,0.106984764,-9.804601,0.16955501
801441518,3,0.10707523,-9.804604,0.16932179
801441528,3,0.10699508,-9.804606,0.16919513
801441538,3,0.10709795,-9.804604,0.16928491
801441548,3,0.107199475,-9.8046055,0.16916102
801441558,3,0.107209496,-9.804607,0.16901109
801441568,3,0.10729872,-9.804607,0.16894338
801441578,3,0.107359014,-9.804615,0.16851969
