Rotation Vector  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801440400,3,-0.30920848,-0.6288509,0.6366809,0.32182932,-1.0
801440410,3,-0.3092092,-0.6288488,0.6366864,0.32182187,-1.0
801440420,3,-0.30920628,-0.62885374,0.63668543,0.32181695,-1.0
801440430,3,-0.30920073,-0.6288621,0.6366903,0.32179624,-1.0
801440440,3,-0.3091928,-0.6288751,0.6366906,0.32177785,-1.0
801440450,3,-0.30919498,-0.62887096,0.6366939,0.32177737,-1.0
801440460,3,-0.3091952,-0.6288701,0.6366965,0.3217735,-1.0
801440470,3,-0.30919036,-0.6288769,0.6367038,0.32175055,-1.0
801440480,3,-0.3091877,-0.62888104,0.63670546,0.32174185,-1.0
801440490,3,-0.30918285,-0.62888974,0.6367012,0.3217378,-1.0
801440500,3,-0.3091821,-0.62889117,0.63669986,0.32173842,-1.0
801440509,3,-0.3091797,-0.62889594,0.63669497,0.32174098,-1.0
801440519,3,-0.30918124,-0.6288938,0.6366926,0.32174844,-1.0
801440529,3,-0.30918032,-0.62889564,0.63669086,0.32174927,-1.0
801440539,3,-0.30917555,-0.62890327,0.6366923,0.321736,-1.0
801440549,3,-0.3091676,-0.62891567,0.63669676,0.32171068,-1.0
801440559,3,-0.30916607,-0.62891847,0.6366949,0.3217103,-1.0
801440569,3,-0.30916926,-0.6289136,0.6366926,0.32172132,-1.0
801440579,3,-0.30917197,-0.62890947,0.63669056,0.32173085,-1.0
801440589,3,-0.30917478,-0.628905,0.6366895,0.3217389,-1.0
801440599,3,-0.30917475,-0.62890524,0.6366885,0.32174054,-1.0
801440609,3,-0.3091687,-0.62891585,0.6366847,0.321733,-1.0
801440619,3,-0.30916902,-0.62891555,0.63668317,0.32173628,-1.0
801440629,3,-0.30916682,-0.6289177,0.6366922,0.3217164,-1.0
801440639,3,-0.3091648,-0.62892056,0.6366948,0.3217076,-1.0
