Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.38.58.708 PM,Capture Start Frame,23655,Total Frames in Take,17051,Total Exported Frames,17051,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
59,0.590000,0.285978,-0.567612,-0.691683,0.342940,-0.569249,0.065090,0.014741
60,0.600000,0.286010,-0.567549,-0.691642,0.343101,-0.569236,0.065087,0.014760
61,0.610000,0.284920,-0.568984,-0.691539,0.341836,-0.568982,0.065251,0.014597
62,0.620000,0.285083,-0.569060,-0.691486,0.341680,-0.569020,0.065227,0.014602
63,0.630000,0.285110,-0.569086,-0.691499,0.341588,-0.569020,0.065231,0.014611
64,0.640000,0.285042,-0.569088,-0.691416,0.341808,-0.569000,0.065244,0.014612
65,0.650000,0.285006,-0.568977,-0.691444,0.341968,-0.568992,0.065219,0.014611
66,0.660000,0.285972,-0.567625,-0.691680,0.342929,-0.569257,0.065078,0.014740
67,0.670000,0.285092,-0.568967,-0.691416,0.341969,-0.569001,0.065214,0.014592
68,0.680000,0.285053,-0.569025,-0.691498,0.341740,-0.568989,0.065230,0.014613
69,0.690000,0.286288,-0.568957,-0.691095,0.341637,-0.569174,0.065084,0.014531
70,0.700000,0.285108,-0.568954,-0.691513,0.341780,-0.569007,0.065230,0.014612
71,0.710000,0.285918,-0.567613,-0.691672,0.343012,-0.569256,0.065091,0.014738
72,0.720000,0.286296,-0.568975,-0.691025,0.341742,-0.569153,0.065069,0.014543
73,0.730000,0.285979,-0.567683,-0.691681,0.342825,-0.569281,0.065075,0.014731
74,0.740000,0.285892,-0.567711,-0.691640,0.342935,-0.569257,0.065079,0.014743
75,0.750000,0.285171,-0.569027,-0.691489,0.341656,-0.569009,0.065232,0.014604
76,0.760000,0.285101,-0.568976,-0.691490,0.341798,-0.568999,0.065235,0.014620
77,0.770000,0.285837,-0.567594,-0.691642,0.343170,-0.569237,0.065097,0.014762
78,0.780000,0.285087,-0.569039,-0.691509,0.341666,-0.568993,0.065234,0.014598
79,0.790000,0.286023,-0.567647,-0.691691,0.342830,-0.569258,0.065101,0.014748
80,0.800000,0.285185,-0.568940,-0.691494,0.341779,-0.569024,0.065217,0.014601
81,0.810000,0.285962,-0.567653,-0.691657,0.342937,-0.569246,0.065097,0.014755
82,0.820000,0.285939,-0.567659,-0.691675,0.342912,-0.569258,0.065095,0.014755
83,0.830000,0.285074,-0.569041,-0.691506,0.341680,-0.569014,0.065223,0.014610
84,0.840000,0.285922,-0.567662,-0.691672,0.342927,-0.569244,0.065106,0.014751
85,0.850000,0.285072,-0.568996,-0.691559,0.341649,-0.569021,0.065221,0.014612
86,0.860000,0.285883,-0.567626,-0.691604,0.343154,-0.569230,0.065093,0.014762
87,0.870000,0.285992,-0.567603,-0.691643,0.343024,-0.569254,0.065080,0.014749
88,0.880000,0.286069,-0.567585,-0.691739,0.342798,-0.569278,0.065109,0.014743
89,0.890000,0.285077,-0.568989,-0.691494,0.341789,-0.569005,0.065246,0.014611
90,0.900000,0.285025,-0.568924,-0.691452,0.342024,-0.568985,0.065236,0.014614
91,0.910000,0.286168,-0.568946,-0.691079,0.341787,-0.569153,0.065092,0.014543
92,0.920000,0.285099,-0.569030,-0.691446,0.341799,-0.569011,0.065233,0.014605
93,0.930000,0.285195,-0.568918,-0.691507,0.341782,-0.569000,0.065244,0.014588
94,0.940000,0.286052,-0.567617,-0.691759,0.342716,-0.569280,0.065095,0.014746
95,0.950000,0.285951,-0.567669,-0.691740,0.342754,-0.569263,0.065121,0.014748
96,0.960000,0.285020,-0.569070,-0.691504,0.341679,-0.569011,0.065237,0.014598
97,0.970000,0.285994,-0.567674,-0.691650,0.342890,-0.569262,0.065100,0.014746
98,0.980000,0.285091,-0.569003,-0.691442,0.341857,-0.568991,0.065233,0.014588
99,0.990000,0.285047,-0.569093,-0.691517,0.341593,-0.569017,0.065235,0.014590
100,1.000000,0.285140,-0.569046,-0.691553,0.341520,-0.569028,0.065218,0.014574
101,1.010000,0.286093,-0.567583,-0.691715,0.342826,-0.569273,0.065100,0.014736
102,1.020000,0.285017,-0.569045,-0.691450,0.341834,-0.569002,0.065261,0.014605
103,1.030000,0.285000,-0.568984,-0.691518,0.341812,-0.569017,0.065244,0.014599
104,1.040000,0.285969,-0.567645,-0.691647,0.342964,-0.569255,0.065090,0.014749
105,1.050000,0.285049,-0.569153,-0.691532,0.341462,-0.569002,0.065252,0.014605
106,1.060000,0.285068,-0.568936,-0.691523,0.341825,-0.568998,0.065223,0.014599
107,1.070000,0.285062,-0.569087,-0.691445,0.341735,-0.568994,0.065230,0.014590
108,1.080000,0.284951,-0.569155,-0.691451,0.341705,-0.568992,0.065248,0.014603
109,1.090000,0.284864,-0.569069,-0.691412,0.341997,-0.568988,0.065247,0.014604
110,1.100000,0.285104,-0.569008,-0.691445,0.341833,-0.568997,0.065236,0.014612
111,1.110000,0.285233,-0.569146,-0.691514,0.341356,-0.569035,0.065227,0.014606
112,1.120000,0.285993,-0.567573,-0.691746,0.342865,-0.569263,0.065077,0.014750
113,1.130000,0.285081,-0.569055,-0.691408,0.341849,-0.568997,0.065241,0.014613
114,1.140000,0.284936,-0.569029,-0.691543,0.341740,-0.568969,0.065256,0.014586
115,1.150000,0.285028,-0.568982,-0.691478,0.341872,-0.568992,0.065227,0.014603
116,1.160000,0.285062,-0.569034,-0.691516,0.341681,-0.568999,0.065230,0.014605
117,1.170000,0.286325,-0.568818,-0.691078,0.341870,-0.569156,0.065054,0.014547
118,1.180000,0.285074,-0.569021,-0.691502,0.341720,-0.569010,0.065253,0.014616
119,1.190000,0.286022,-0.567644,-0.691777,0.342661,-0.569278,0.065107,0.014737
120,1.200000,0.286005,-0.567660,-0.691670,0.342864,-0.569261,0.065083,0.014737
121,1.210000,0.285068,-0.569037,-0.691434,0.341836,-0.568995,0.065224,0.014610
122,1.220000,0.285159,-0.569020,-0.691538,0.341580,-0.569008,0.065232,0.014605
123,1.230000,0.285027,-0.569072,-0.691501,0.341678,-0.569001,0.065250,0.014594
124,1.240000,0.285951,-0.567639,-0.691667,0.342950,-0.569256,0.065099,0.014750
125,1.250000,0.286100,-0.568813,-0.691179,0.341863,-0.569127,0.065081,0.014545
